iteration,iteration_test,failures,policy,miura,time
130,130 4 4 N E,1,0,0,0
131,131 3 21 N B,1,0,0,0
132,132 14 9 N A,0,1.835820217,4.871016658,93.40984205
133,133 17 8 N A,1,0,0,0
134,134 20 13 N D,1,0,0,0
135,135 20 1 N C,0,2.456876155,7.258845552,433.5971953
136,136 21 22 N C,0,3.534386637,3.332083378,224.3874949
137,137 20 12 N A,0,1.566243905,8.322815861,209.9448458
138,138 20 11 N A,0,1.702315895,9.101884657,194.0442924
139,139 6 11 N B,1,0,0,7200
140,140 15 13 N C,0,2.938179365,0.789419139,9.404456138
141,141 25 4 N E,1,0,0,7200
142,142 19 2 N B,1,0,0,7200
143,143 6 1 N B,1,0,0,7200
144,144 22 2 N B,1,0,0,7200
145,145 24 6 N O,0,2.220635691,6.236209272,123.6185976
146,146 14 16 N P,0,1.519379623,8.49405795,128.3538517
147,147 6 12 N A,0,1.961696471,2.437064456,18.96653289
148,148 17 22 N O,1,0,0,7200
149,149 8 25 N O,1,0,0,7200
150,150 17 15 N D,1,0,0,7200
151,151 16 25 N E,0,1.544058426,9.718590503,538.4455521
152,152 1 14 N O,0,1.345184795,9.924189957,580.7516394
153,153 15 13 N P,0,1.097112751,9.014075685,216.5854269
154,154 15 3 N P,1,0,0,7200
155,155 7 9 N B,1,0,0,7200
156,156 21 18 N O,1,0,0,7200
157,157 11 1 N E,1,0,0,7200
158,158 3 21 N B,1,0,0,7200
159,159 9 24 N O,1,0,0,7200
160,160 8 21 N D,1,0,0,7200
161,161 17 8 N O,0,1.830499612,1.667645592,12.6714448
162,162 11 24 N B,1,0,0,7200
163,163 4 23 N C,1,0,0,7200
164,164 8 12 N O,1,0,0,7200
165,165 14 1 N O,0,1.775484907,8.753106201,246.2717091
166,166 22 20 N D,1,0,0,7200
167,167 7 16 N A,0,2.100389393,3.547487198,71.50996296
168,168 3 13 N E,0,2.256779249,8.09648143,220.8811747
169,169 5 21 N B,1,0,0,7200
170,170 6 9 N B,1,0,0,7200
171,171 23 6 N P,1,0,0,7200
172,172 2 3 N C,1,0,0,7200
173,173 24 23 N P,1,0,0,7200
174,174 16 21 N C,0,3.177717059,5.186680204,122.3771207
175,175 15 21 N E,0,3.328706474,0.975687913,18.99663408
176,176 25 10 N O,0,2.426131728,5.699239283,115.2093225
177,177 15 2 N B,1,0,0,7200
178,178 20 24 N A,0,1.418772864,9.789298802,508.4392876
179,179 7 12 N P,1,0,0,7200
180,180 9 11 A B,1,0,0,7200
181,181 4 2 N E,1,0,0,7200
182,182 11 2 N E,1,0,0,7200
183,183 21 6 N O,0,1.781471933,1.749004401,15.18849743
184,184 17 12 N A,0,1.479488082,6.855047047,70.53179144
185,185 1 18 N A,0,2.030904081,6.291852252,161.0092528
186,186 10 22 N C,1,0,0,7200
187,187 24 20 N O,1,0,0,7200
188,188 3 5 N P,1,0,0,7200
189,189 23 4 N O,0,2.141309876,6.436840151,117.2673733
