iteration,iteration_test,failures,policy,miura,time
0,0 9 11 N D,0,3.441993863,4.63737065,141.6925454
1,1 14 24 N D,1,0,0,0
2,2 9 10 N D,0,3.028072404,3.66082903,107.4759159
3,3 1 10 N O,0,2.468837109,9.758114326,1026.200458
4,4 8 17 N O,1,0,0,0
5,5 17 21 N D,1,0,0,0
6,6 24 12 N P,1,0,0,0
7,7 19 13 N C,0,4.99392053,0.860197708,48.20614448
8,8 11 3 N C,0,2.965027815,8.617860349,639.753774
9,9 11 8 N P,1,0,0,0
10,10 3 16 N P,1,0,0,0
11,11 1 21 N O,1,0,0,0
12,12 8 13 N D,0,3.238721991,6.588922848,259.0616171
13,13 11 8 N P,1,0,0,0
14,14 25 14 N O,0,2.824672777,8.269920573,354.8510872
15,15 25 14 N C,0,4.959880453,2.127441667,195.1962765
16,16 3 19 N C,0,3.449227749,6.578577964,480.7635364
17,17 25 9 N O,0,3.414651369,5.568395145,189.9793685
18,18 7 21 N P,0,2.436928744,1.285895789,22.05827087
19,19 18 22 N C,0,4.498820603,3.579750712,315.6987277
20,20 23 1 N D,1,0,0,0
21,21 2 25 N O,1,0,0,0
22,22 14 15 N P,0,1.885122032,9.201315721,379.3302486
23,23 23 16 N O,0,2.67641809,8.319011606,274.1585704
24,24 16 1 N D,1,0,0,0
25,25 22 4 N O,0,3.104022685,6.278815337,260.8196141
26,26 1 11 N D,1,0,0,0
27,27 20 23 N D,1,0,0,0
28,28 8 25 N D,1,0,0,0
29,29 23 3 N O,0,3.099310124,6.828674688,338.5132815
30,30 23 6 N C,0,4.173634298,5.933509439,336.8170842
31,31 14 21 N P,0,3.602668696,3.995485967,203.876614
32,32 11 5 N D,0,3.170305346,3.584941136,158.5454423
33,33 2 6 N C,0,3.185458988,7.248939374,557.6585827
34,34 1 23 N C,0,3.094582342,7.68067705,573.1910961
35,35 23 25 N O,1,0,0,0
36,36 14 18 N O,1,0,0,0
37,37 6 10 N D,0,3.384705721,3.051566125,150.5198628
38,38 14 19 N D,0,2.24856843,9.612680675,433.9234574
39,39 11 24 N O,1,0,0,0
40,40 1 19 N D,1,0,0,0
41,41 8 19 N C,0,3.698009326,7.438367301,409.3529434
42,42 2 15 N O,1,0,0,0
43,43 3 16 N C,0,3.876817374,5.202892315,383.1075586
44,44 22 17 N C,0,4.979553837,1.41596752,118.9588546
45,45 17 2 N O,0,3.03657743,8.28517508,314.652284
46,46 2 24 N P,1,0,0,0
47,47 23 22 N O,1,0,0,0
48,48 23 6 N O,0,3.116139845,5.96198765,165.4126811
49,49 24 1 N D,1,0,0,0
50,50 22 3 N D,1,0,0,0
51,51 2 3 N D,1,0,0,0
52,52 12 3 N C,0,3.183594456,8.0629257,559.5076041
53,53 20 17 N O,1,0,0,0
54,54 1 15 N D,1,0,0,0
55,55 8 4 N O,1,0,0,0
56,56 15 3 N D,1,0,0,0
57,57 6 19 N P,0,2.010563724,1.080010149,12.19279667
58,58 8 15 N P,0,3.271901354,6.776245646,253.1572486
59,59 3 17 N D,1,0,0,0
60,60 5 12 N D,0,3.577757922,3.56782971,132.8100241
61,61 3 17 N C,0,3.833858611,5.565889911,365.7221544
62,62 3 11 N D,1,0,0,0
63,63 22 23 N P,1,0,0,0
64,64 2 11 N C,0,3.736019382,5.681158642,378.1202763
65,65 11 18 N P,0,3.602322715,2.956747078,95.14012907
66,66 20 5 N P,1,0,0,0
67,67 12 15 N C,0,5.126980752,1.931304377,177.3346989
68,68 1 25 N D,1,0,0,0
69,69 2 17 N P,1,0,0,0
70,70 5 2 N O,0,2.684235505,9.167309832,641.6302423
71,71 9 3 N D,1,0,0,0
72,72 18 15 N P,0,2.026600498,9.112620795,393.5516607
73,73 19 8 N P,1,0,0,0
74,74 14 4 N D,0,3.442204025,5.859675985,235.8036482
75,75 1 22 N D,1,0,0,0
76,76 23 6 N O,0,3.553958516,5.369258297,169.0431893
77,77 22 16 N D,1,0,0,0
78,78 14 22 N C,0,4.911383452,3.409076128,291.6825643
79,79 12 18 N D,0,2.408236361,9.433296773,304.6057105
80,80 18 1 N O,0,2.960029904,8.024801755,386.130797
81,81 12 10 N O,0,2.462721497,8.424615671,234.1255293
82,82 21 17 N C,0,5.190865358,1.231571841,84.01714303
83,83 6 9 N C,0,4.070166536,6.070558582,324.944351
84,84 13 15 N O,1,0,0,0
85,85 25 24 N O,1,0,0,0
86,86 3 6 N P,1,0,0,0
87,87 2 2 N O,0,2.62807377,9.296094817,664.3307592
88,88 9 14 N O,1,0,0,0
89,89 24 16 N O,0,2.922714436,8.903106572,277.9383812
90,90 6 10 N O,1,0,0,0
