iteration_test,failures,policy,miura,time
0 4 2 N C,0,2.214581685,-6.811371348,0.463942212
1 5 4 N B,0,2.958259993,-2.129532396,0.248865512
2 5 4 N B,0,2.958259993,-2.129532396,0.236242441
3 2 5 N C,0,2.420385348,-3.064049092,0.451586747
4 5 5 N A,0,3.330017928,-6.367838802,0.302204287
5 3 1 N B,0,3.331487094,-4.272018023,0.28477744
6 3 1 N B,0,3.331487094,-4.272018023,0.34892235
7 4 1 N A,0,3.62369666,-2.627664779,0.359215535
8 3 6 N A,0,1.987328293,-1.229525668,0.342826826
9 1 1 N A,0,3.614375981,-2.128866701,0.286308638
10 3 7 N B,0,1.984361905,-3.630529161,0.367888801
11 1 8 N A,0,2.690153947,-3.855697048,0.372474443
12 1 2 N A,0,3.430335966,-1.913108496,0.369722136
13 1 6 N A,0,3.194101097,-1.709412194,0.352232523
14 5 6 N B,0,1.84363786,-1.479935861,0.37942909
15 5 7 N C,0,1.540428303,-3.168066676,0.541414764
16 1 8 N C,0,1.716325227,-1.590662947,0.495128642
17 5 4 N A,0,3.664192828,-5.280427609,0.311809345
18 2 4 N B,0,2.948428423,-6.885413565,0.401947235
19 5 6 N A,0,3.180594791,-7.155893834,0.334528401
20 2 8 N C,0,1.263316554,-1.205006219,0.526168482
21 5 3 N A,0,3.325534539,-4.077768458,0.470878441
22 1 3 N A,0,3.19636928,-1.706292378,0.489834831
23 1 3 N C,0,2.444604702,-5.623913892,0.722605585
24 1 8 N C,0,1.716325227,-1.590662947,0.702694002
25 5 2 N C,0,2.161248131,-6.43896163,0.639514532
26 5 1 N C,0,2.211010255,-6.791873814,0.538866651
27 3 6 N A,0,1.987328293,-1.229525668,0.406222096
28 5 7 N A,0,1.939356109,-5.62697894,0.38630675
29 1 6 N C,0,2.644132642,-2.479674443,0.564287698
30 2 8 N C,0,1.263316554,-1.205006219,0.467347672
31 5 8 B A,0,1.945836593,-5.635489595,0.332881034
32 2 7 N B,0,1.79550763,-4.612813662,0.384131443
33 1 5 N C,0,2.669183895,-3.26193766,0.642491598
34 2 4 N A,0,1.990452002,-1.234265389,0.436260493
35 1 3 N A,0,3.19636928,-1.706292378,0.375512277
36 5 6 N A,0,3.180594791,-7.155893834,0.425917135
37 1 8 N A,0,2.690153947,-3.855697048,0.332680352
38 2 2 N C,0,2.12918319,-6.047603095,0.516791673
39 2 2 N B,0,3.155052318,-4.861277182,0.547902395
40 4 3 N B,0,3.314555366,-2.680982555,0.412686712
41 1 3 N C,0,2.444604702,-5.623913892,0.633915939
42 1 3 N C,0,2.444604702,-5.623913892,0.626003882
43 1 3 N B,0,2.987959881,-7.322863704,0.395526103
44 5 1 N C,0,2.211010255,-6.791873814,0.519220305
45 5 1 N B,0,3.374952852,-3.068465251,0.396196173
46 5 4 N A,0,3.664192828,-5.280427609,0.41152986
47 5 6 N B,0,1.84363786,-1.479935861,0.419203235
48 4 8 N B,0,1.323497892,-1.164258383,0.496367496
49 5 1 N A,0,3.603302775,-3.237628087,0.395979367
50 3 8 C B,0,1.4996487,-2.154317009,0.415938953
51 1 1 N A,0,3.614375981,-2.128866701,0.422685833
52 4 2 N A,0,3.466495461,-2.408253843,0.466736528
53 5 6 N C,0,1.654216047,-3.963301541,0.716099077
54 1 2 N C,0,2.383011329,-6.290163936,0.589811322
55 3 8 C B,0,1.4996487,-2.154317009,0.529565424
56 1 8 N B,0,1.800015489,-4.611564234,0.455861223
57 1 4 N A,0,2.903233785,-1.506836975,0.432692048
58 1 2 N B,0,3.296774946,-5.919954018,0.43274351
59 1 3 N A,0,3.19636928,-1.706292378,0.399352421
60 2 3 N B,0,3.036543406,-6.729051743,0.451740179
61 3 1 N A,0,3.772525173,-2.299165517,0.349606255
62 4 3 N A,0,3.461808824,-3.043881596,0.419143448
63 5 3 N C,0,2.078767075,-6.052634857,0.703323801
64 1 4 N C,0,2.548199552,-4.613844287,0.647411603
65 4 2 N B,0,3.365382028,-3.086850179,0.432795521
66 1 2 N A,0,3.430335966,-1.913108496,0.446020072
67 3 2 N A,0,3.632378105,-2.070932289,0.43086486
68 2 8 N A,0,2.363037419,-3.702162341,0.511638939
69 3 2 N C,0,2.222381855,-6.814071874,0.606377435
70 2 6 N A,0,2.90054045,-1.507663603,0.415168918
71 1 4 N A,0,2.903233785,-1.506836975,0.462744407
72 2 3 N A,0,2.903233785,-1.506836975,0.469613491
73 5 6 N B,0,1.84363786,-1.479935861,0.319879889
74 5 1 N B,0,3.374952852,-3.068465251,0.406058065
75 2 8 N B,0,1.988717454,-3.629201697,0.505886816
76 3 6 N A,0,1.987328293,-1.229525668,0.359664361
77 5 5 N C,0,2.125163109,-5.622017863,0.659142438
78 2 1 N B,0,3.575501097,-5.198503296,0.485712167
79 5 2 N C,0,2.161248131,-6.43896163,0.741369224
80 2 1 N C,0,2.181399205,-6.45637402,0.775980331
