iteration,iteration_test,failures,policy,miura,time
0,0 21 6 N O,0,1.939377919,1.677734758,28.54134605
1,1 17 10 N E,1,0,0,0
2,2 25 12 N C,0,3.82260859,3.547147329,280.5456841
3,3 10 9 N O,0,1.864529367,8.256537536,262.6388495
4,4 1 19 N O,1,0,0,0
5,5 23 8 N P,1,0,0,0
6,6 19 19 N B,0,1.098958842,1.255012897,6.050613686
7,7 22 4 N C,0,3.376560467,5.785523479,328.8948799
8,8 13 15 N C,0,4.357756079,2.55915324,170.6920612
9,9 17 15 N P,1,0,0,0
10,10 14 13 N B,1,0,0,0
11,11 10 10 N D,0,2.98773892,3.504907739,103.6363577
12,12 1 22 N O,1,0,0,0
13,13 11 5 N C,0,3.637844196,4.454794351,310.6490099
14,14 5 18 N P,0,2.281311893,1.755370427,14.13618113
15,15 9 21 N C,1,0,0,0
16,16 8 5 N E,1,0,0,0
17,17 18 2 N P,1,0,0,0
18,18 17 16 N B,0,1.871876406,6.055394247,109.2026362
19,19 22 6 N D,1,0,0,0
20,20 17 16 N B,0,1.972938052,5.830990205,115.9348637
21,21 7 12 N E,0,3.341733863,5.474005142,328.7296588
22,22 20 4 N E,1,0,0,0
23,23 10 4 N B,1,0,0,0
24,24 6 8 N O,1,0,0,0
25,25 7 9 N D,0,2.738499942,1.628399361,51.97012224
26,26 2 5 N E,0,2.099331694,8.681392324,775.0392668
27,27 22 7 N O,0,2.539512029,4.593448122,251.3331743
28,28 25 24 N P,1,0,0,0
29,29 7 8 N O,0,1.724930226,8.967706612,383.6726853
30,30 21 22 N E,0,1.753496195,9.834975614,1144.760041
31,31 16 25 N O,1,0,0,0
32,32 22 11 N O,0,2.535423235,5.747027496,165.266795
33,33 10 9 N D,0,2.395854865,2.652472098,79.31250464
34,34 21 21 N D,1,0,0,0
35,35 19 18 N C,0,3.47742297,5.365073979,201.736065
36,36 21 3 N C,0,3.083822562,6.359884947,398.8793757
37,37 18 12 N E,1,0,0,0
38,38 9 7 N C,0,3.24395714,6.241081092,400.8684159
39,39 19 11 N P,1,0,0,0
40,40 9 14 N B,1,0,0,0
41,41 6 19 N D,1,0,0,0
42,42 4 15 N P,1,0,0,0
