iteration_test,failures,policy,miura,time
106 17 24 N D,0,1.21347651,-9.919872354,88.76431538
107 15 15 N C,0,1.731324675,-0.501715093,86.92554104
108 21 21 N P,0,1.033287357,-8.780951153,137.3225606
109 12 23 N O,0,0.710271557,-9.656354451,116.8626549
110 9 3 N D,0,1.256798342,-9.84368136,86.49610554
111 15 19 N B,0,1.716264945,-5.41360415,131.6575978
112 6 25 N E,0,1.683889493,-9.096548622,53.87924449
113 18 4 N E,0,1.321703661,-9.547404525,54.72493029
114 7 13 N C,0,3.164500907,-6.075938499,86.65989632
115 6 8 N A,0,1.778527452,-5.581988142,59.3191047
116 9 16 N B,0,1.401315358,-8.641792346,133.3175327
117 2 12 N A,0,2.147824939,-5.100442807,58.58685748
118 7 25 N P,0,1.238871211,-9.730001158,143.4407367
119 18 21 N L,0,0.755304966,-9.795504566,113.7656037
120 24 10 N E,0,1.631063377,-9.211628058,53.05871702
121 9 8 N A,0,1.824658455,-3.182422304,57.73209409
122 24 6 N P,0,0.860998498,-9.908930183,137.6487379
123 13 16 N L,0,0.962734329,-9.616537395,110.0905489
124 23 15 N C,0,3.934275766,-2.043170059,86.424876
125 24 4 N E,0,1.169945236,-9.831808188,51.92675383
126 15 11 N E,0,2.744833598,-7.169042135,52.67237007
127 1 18 N P,0,1.241109865,-9.451577682,140.8475154
128 21 14 N L,0,1.633755607,-7.868864799,111.6976009
129 5 21 N E,0,3.936235375,-3.962593521,52.87909895
130 12 11 N D,0,1.68451653,-7.035052615,85.98100168
131 9 8 N L,0,1.133352794,-9.567109829,110.9242009
132 9 23 N B,0,1.20847359,-8.644429782,134.7664055
133 3 25 N P,0,1.23807592,-9.685576874,136.6254472
134 7 9 N A,0,1.984391489,-3.924026898,57.40541473
135 14 2 N C,0,1.54430078,-9.541964567,88.88306739
136 7 22 N L,0,0.735564619,-9.997170357,110.7285014
137 22 7 N C,0,3.039664329,-4.811046238,86.45679575
138 15 24 N E,0,1.559962446,-9.623506674,52.18582057
139 25 24 N L,0,1.484484222,-9.240469062,110.2882286
140 25 2 N E,0,1.05350663,-9.883076966,52.51643353
141 21 21 N O,0,0.778674041,-9.719559921,117.2241935
142 14 15 N O,0,0.936998932,-8.783447589,118.9780981
143 17 7 N A,0,1.240474637,-8.778542906,58.89104891
144 18 11 N C,0,4.108792402,-1.363560324,91.02683664
145 7 1 N D,0,1.267712963,-9.808047059,90.29319349
146 22 21 N L,0,1.566291811,-8.990094282,117.1201958
147 17 9 N L,0,1.813763812,-7.467236816,117.8083595
148 6 24 N O,0,1.208350803,-9.892333353,118.4468364
149 18 21 N D,0,0.812676696,-9.654799972,89.85096794
150 2 24 N D,0,1.318519853,-9.681182691,90.18686417
151 25 4 N D,0,1.074626542,-9.613738585,89.74539462
152 6 10 N O,0,1.067256032,-9.414769382,120.7449954
153 12 14 N E,0,3.880633732,-3.090251998,55.88348053
154 13 20 N B,0,1.647510717,-7.929166421,143.0056237
155 25 8 N C,0,2.891722791,-5.71270435,92.32396968
156 15 24 N D,0,1.232289011,-9.893353832,91.90035155
157 5 24 N A,0,1.627759147,-7.939662309,61.16796929
158 4 14 N B,0,1.161121466,-9.406592335,139.540507
159 2 10 N E,0,1.884988911,-8.932980404,53.4651267
160 18 20 N D,0,0.850086742,-9.616701505,91.44045081
161 3 10 N C,0,1.909571716,-9.093081336,91.8643496
162 18 7 N E,0,1.353613502,-9.559698237,55.98167761
163 16 7 N E,0,1.333944086,-9.548829094,55.33686253
164 12 8 N L,0,1.334779788,-9.267690605,118.1271313
165 18 1 N D,0,1.158282254,-9.947023823,91.33974023
166 12 3 N D,0,1.222032148,-9.880885623,92.29456476
167 11 7 N P,0,1.080738839,-9.349869026,147.1481407
168 11 9 N C,0,3.592492703,-3.932290202,93.70717381
169 1 17 N D,0,1.456729283,-9.027505423,90.92051511
170 11 1 N C,0,1.431054148,-9.706459269,90.80393554
171 8 4 N L,0,0.921762056,-9.718289062,114.4420664
172 2 10 N C,0,1.852813005,-9.141952014,88.82856168
173 2 8 N P,0,1.193953555,-9.700333611,146.9855975
174 11 3 N B,0,1.148502967,-9.947991049,141.7633636
175 19 21 N O,0,0.799052043,-9.688984534,120.5855208
176 1 6 N E,0,1.606075828,-9.42073778,56.55253283
177 2 25 N P,0,1.241593507,-9.683353346,146.0184954
178 18 23 N D,0,1.20322341,-9.923432647,90.50370539
179 14 16 N L,0,1.024492791,-9.574078692,115.3079538
180 17 5 N E,0,1.295551109,-9.548854895,54.74534628
181 14 14 N P,0,0.942225413,-9.417453885,144.3747933
182 20 18 N A,0,1.130150356,-9.012352482,61.1072036
183 1 17 N L,0,1.197200096,-9.741293744,117.2286526
184 23 8 N L,0,2.348875061,-2.974384008,117.9914446
185 22 6 N P,0,0.813473914,-9.813490987,147.6809313
186 6 11 N A,0,1.810234091,-2.051189011,61.34169249
187 12 4 N O,0,1.51015808,-9.154130034,121.0026399
188 25 20 N P,0,0.996167505,-9.567501162,148.7563183
189 8 16 N E,0,3.595633202,-4.059571686,56.21038113
190 16 17 N E,0,3.529101682,-2.898493117,55.27013197
191 15 20 N L,0,0.860662797,-9.720496008,115.9644901
192 24 13 N L,0,2.044674012,-5.356268116,114.9591071
193 2 22 N C,0,1.617724511,-9.507105481,87.80576443
194 2 25 N E,0,1.759825464,-8.882412565,48.40244191
195 9 22 N L,0,0.676731487,-9.890804099,98.9361815
196 5 13 N O,0,1.002856648,-9.614000253,103.0559754
197 6 9 N A,0,1.803661319,-4.765154144,53.83195041
198 18 7 N A,0,1.25315986,-8.779690316,53.64682588
199 12 20 N O,0,0.865058264,-9.47547699,104.3231312
200 7 1 N O,0,1.284966278,-9.761510904,106.2293619
201 11 7 N E,0,2.065471317,-8.185827761,49.31449018
202 7 16 N O,0,0.922063888,-9.686386802,107.7582392
203 12 15 N B,0,1.626700909,-8.254457076,120.522782
204 4 8 N L,0,0.927266818,-9.717460901,101.932151
205 25 19 N E,0,1.968529271,-8.928532509,48.54453034
206 25 5 N E,0,1.237755274,-9.825835757,50.31934276
207 13 10 N B,0,1.160238634,-8.903108226,121.9510929
208 4 24 N E,0,1.775851353,-8.87654657,46.88735697
209 12 22 N D,0,0.938310775,-9.35326687,77.75469671
210 7 8 N O,0,1.249478568,-9.337897037,104.7281046
211 9 14 N C,0,3.462315443,-4.800921235,80.61205202
212 7 20 N B,0,1.093341894,-9.011633609,121.5343562
213 17 2 N E,0,1.1982406,-9.932461341,49.34403167
214 24 5 N P,0,0.849517281,-9.909537941,127.2102103
215 24 9 N L,0,2.348875061,-2.974384008,95.42841981
