iteration_test,failures,policy,miura,time
0 8 3 N O,1,0,0,0
1 20 60 N D,1,0,0,0
2 3 37 N D,0,2.81911967,4.183890097,289.1153722
3 58 40 N T,0,3.056370099,2.503644071,159.9204489
4 10 4 N L,1,0,0,0
5 14 51 N T,1,0,0,0
6 45 9 N T,0,1.757109705,9.589380571,900.4502966
7 27 58 N C,0,2.108375899,7.596297321,704.2000199
8 14 2 N T,1,0,0,0
9 6 27 N D,0,3.328141123,3.254423864,245.5081946
10 10 49 N P,1,0,0,0
11 18 59 N L,1,0,0,0
12 3 54 N T,1,0,0,0
13 60 7 N T,1,0,0,0
14 44 45 N L,1,0,0,0
15 42 55 N L,1,0,0,0
16 34 18 N D,0,1.871988233,8.956498664,802.6353649
17 45 22 N L,0,2.237563118,7.061612259,567.7080738
18 16 51 N C,0,3.108164231,2.996862094,261.8840386
19 5 35 N L,1,0,0,0
20 42 59 N T,1,0,0,0
21 42 21 N P,0,1.684110916,9.733658122,706.7064828
22 14 23 N P,0,1.682973863,9.749818499,697.9419721
23 13 40 N O,0,1.513881249,9.963677248,754.2205245
24 5 31 N C,1,0,0,0
25 16 30 N P,0,1.522557303,9.934122776,656.0536172
26 40 10 N L,0,2.862787149,5.133656218,196.0177492
27 45 57 N P,1,0,0,0
28 28 55 N P,1,0,0,0
29 9 52 N D,1,0,0,0
30 15 24 N C,1,0,0,0
31 53 47 N T,1,0,0,0
32 60 1 N D,1,0,0,0
33 14 50 N D,0,2.168211744,8.822051952,273.4904682
34 37 33 N T,0,2.197306938,7.249243352,296.5037142
35 35 2 N L,0,2.266255684,6.727869384,270.3380442
36 56 23 N D,1,0,0,0
37 32 20 N O,1,0,0,0
38 24 23 N O,1,0,0,0
39 12 59 N C,0,2.946823633,4.114942833,159.3113185
40 25 5 N C,1,0,0,0
41 60 42 N L,1,0,0,0
42 20 23 N P,0,1.843914223,9.185387464,435.9627544
43 52 60 N C,1,0,0,0
44 30 41 N O,0,1.752577868,9.44992584,534.2210056
45 11 27 N O,1,0,0,0
46 30 60 N T,1,0,0,0
47 18 39 N P,1,0,0,0
48 42 53 N L,1,0,0,0
49 10 51 N C,0,2.451083987,1.561651531,79.27053521
50 36 30 N L,0,1.751381745,9.484043772,962.6264798
51 22 16 N O,1,0,0,0
52 19 3 N T,1,0,0,0
53 49 18 N P,1,0,0,0
54 35 12 N C,1,0,0,0
55 55 35 N P,1,0,0,0
56 19 28 N D,0,3.196282655,3.183756511,195.6039194
57 15 10 N T,0,1.536330597,9.97546168,1666.924704
58 58 56 N L,1,0,0,0
59 30 52 N C,0,2.112483302,7.511067891,582.2168569
60 33 27 N C,1,0,0,0
61 59 51 N T,1,0,0,0
62 54 1 N P,1,0,0,0
63 19 57 N P,1,0,0,0
64 40 4 N O,1,0,0,0
65 44 52 N O,0,2.819033798,4.218654257,276.7367407
66 18 7 N C,1,0,0,0
67 35 7 N L,0,2.551233549,5.635202973,455.9595285
68 12 43 N P,1,0,0,0
69 32 29 N O,1,0,0,0
70 52 19 N C,1,0,0,0
71 9 53 N T,1,0,0,0
72 27 50 N L,1,0,0,0
73 56 50 N P,1,0,0,0
74 56 15 N T,0,2.300505927,6.593237795,210.524235
75 34 26 N D,0,2.133854364,7.604422299,254.8327475
76 3 60 N P,1,0,0,0
77 42 60 N D,1,0,0,0
78 53 17 N P,1,0,0,0
79 58 24 N L,0,1.675105957,9.750253322,379.120299
80 30 60 N O,1,0,0,7200
81 43 40 N T,0,2.301740598,6.845103571,582.2992367
82 32 60 N P,1,0,0,7200
83 39 5 N C,1,0,0,7200
84 32 8 N L,0,2.304734994,6.846865438,614.3566906
85 15 53 N C,0,3.012504525,3.577799147,285.7426801
86 42 45 N T,0,2.046504397,8.026399396,954.4674677
87 22 60 N D,1,0,0,7200
88 51 28 N L,0,1.772644926,9.506014864,1220.354931
89 51 9 N D,0,1.492726753,9.97515646,1891.463873
90 1 35 N D,0,2.900163208,4.24097009,349.2644347
91 52 28 N C,1,0,0,7200
92 34 20 N C,1,0,0,7200
93 22 27 N C,1,0,0,7200
94 26 60 N D,1,0,0,7200
95 36 58 N D,0,1.665747069,9.862981253,13809.34208
96 55 27 N D,0,1.55680384,9.931155302,1681.846906
97 36 37 N L,1,0,0,7200
98 11 48 N P,1,0,0,7200
99 3 60 N P,1,0,0,7200
100 9 2 N T,1,0,0,7200
101 4 11 N T,1,0,0,7200
102 46 58 N D,1,0,0,7200
