iteration,iteration_test,failures,policy,miura,time
0,0 8 4 N B,1,0,0,0
1,1 19 5 N D,1,0,0,0
2,2 13 10 N B,1,0,0,0
3,3 20 9 N O,0,2.652656404,2.71843233,50.24667481
4,4 8 2 N O,0,2.303916104,9.088424726,581.5861549
5,5 3 2 N P,1,0,0,0
6,6 4 15 N B,0,1.956511336,9.897621289,10817.89066
7,7 12 4 N B,1,0,0,0
8,8 2 13 N C,0,3.30003396,5.55609677,364.7649407
9,9 4 22 N B,1,0,0,0
10,10 15 20 N O,1,0,0,0
11,11 4 4 N B,1,0,0,0
12,12 8 19 N C,0,2.91599261,7.804911484,445.8775831
13,13 8 12 N C,0,4.728456836,2.439969588,214.2604932
14,14 19 10 N O,0,2.658861723,5.005989298,86.99366335
15,15 3 18 N C,0,3.204017778,5.999142759,496.1497155
16,16 23 20 N P,1,0,0,0
17,17 25 8 N B,1,0,0,0
18,18 15 7 N D,0,2.709696215,5.88114223,190.9608521
19,19 24 20 N O,1,0,0,0
20,20 13 16 N P,0,3.015650077,5.673971491,223.3050133
21,21 23 22 N O,1,0,0,0
22,22 15 3 N O,0,2.481057011,8.394838225,418.8672112
23,23 21 8 N B,1,0,0,0
24,24 17 9 N D,0,2.483576563,7.705090654,222.1689902
25,25 7 3 N O,0,2.280912491,8.899189619,630.7075385
26,26 4 24 N D,1,0,0,0
27,27 22 22 N D,1,0,0,0
28,28 17 18 N O,1,0,0,0
29,29 24 1 N P,1,0,0,0
30,30 10 3 N D,1,0,0,0
31,31 21 2 N P,1,0,0,0
32,32 12 8 N B,1,0,0,0
33,33 11 7 N O,1,0,0,0
34,34 15 7 N B,1,0,0,0
35,35 11 21 N C,0,3.594910077,5.930412922,326.2569499
36,36 20 19 B C,0,3.12823939,7.87956926,253.2892929
37,37 11 2 N C,0,2.470871612,8.793120941,692.2056257
38,38 13 5 N C,0,4.053304587,3.803535839,210.8448995
39,39 10 13 N D,0,2.677964165,5.673631474,133.7436952
40,40 21 8 N D,1,0,0,0
41,41 19 10 N P,1,0,0,0
42,42 13 4 N B,1,0,0,0
43,43 2 23 N C,0,2.608182199,7.877463447,580.1229658
44,44 12 21 N D,1,0,0,0
45,45 17 24 N C,0,3.477551932,4.889545452,363.5613702
46,46 25 10 N O,0,2.724441822,5.303538822,211.4342863
47,47 17 13 N C,0,3.121900537,0.628515936,19.95727524
48,48 18 22 N C,0,3.868034879,3.782566641,285.5130732
49,49 13 7 N B,1,0,0,0
50,50 18 24 N C,0,3.612750521,4.400770714,328.4629052
51,51 10 7 N C,0,3.928173864,4.333669871,253.5602574
52,52 22 6 N C,0,3.954402962,4.870538581,246.7804267
53,53 8 14 N C,0,4.360130952,3.064195039,226.5923805
54,54 9 13 N C,0,4.454216788,2.453107126,164.1628959
55,55 2 21 N B,1,0,0,0
56,56 15 21 N B,0,2.726390341,3.557609137,113.6821002
57,57 9 8 N C,0,4.038115247,4.410992411,252.1834727
58,58 4 4 N D,0,2.735614063,1.802137636,43.51758642
59,59 12 24 N P,1,0,0,0
60,60 25 9 N D,1,0,0,0
61,61 2 25 N B,0,1.982962733,9.840345475,9279.707548
62,62 20 20 N C,0,3.445866479,7.360476129,260.5972556
63,63 14 16 N B,0,2.615239691,5.561492422,110.546992
64,64 16 20 N C,0,4.181143907,3.093033555,200.0595491
65,65 9 19 N P,0,3.103021622,2.040177476,46.74486115
66,66 21 23 N O,1,0,0,0
67,67 24 12 N C,0,4.514353604,3.042751441,194.7575763
68,68 22 17 N D,1,0,0,0
69,69 23 16 N C,0,4.799413683,1.503358739,111.8741585
70,70 8 4 N P,1,0,0,0
71,71 23 22 N C,0,4.380335582,2.995287082,298.2680008
72,72 19 3 N C,0,3.42099343,6.611665358,504.5018511
73,73 4 19 N C,1,0,0,0
74,74 21 3 N D,1,0,0,0
75,75 4 19 N P,0,1.851026331,1.18320923,17.69814301
76,76 24 9 N P,1,0,0,0
77,77 17 18 N C,0,4.801463558,2.788905456,156.4017051
78,78 11 4 N D,0,3.009451766,4.143473677,182.1928174
79,79 15 12 N P,0,1.664658415,9.199356342,320.0580662
80,80 25 18 N P,1,0,0,0
81,81 16 2 N P,1,0,0,0
82,82 15 3 N C,0,2.78420172,7.946970187,433.2244327
83,83 6 6 N B,1,0,0,0
84,84 17 10 N C,0,4.43205484,2.573541733,128.5649777
85,85 19 24 N C,0,3.817261738,3.968581102,290.8754025
86,86 1 8 N P,1,0,0,0
87,87 17 16 N C,0,4.175062222,1.174863953,63.98693085
88,88 2 1 N O,0,2.142060602,9.459291331,650.0919929
89,89 7 14 N P,0,2.519154035,7.973332945,265.6231291
