iteration_test,failures,policy,miura,time
0 9 11 N D,0,3.44199386287805,4.6373706500444,141.6925453599979
1 14 24 N D,1,0,0,0
2 9 10 N D,0,3.0280724038517555,3.6608290300291353,107.47591592400568
3 1 10 N O,0,2.4688371087697525,9.75811432628729,1026.2004579640052
4 8 17 N O,1,0,0,0
5 17 21 N D,1,0,0,0
6 24 12 N P,1,0,0,0
7 19 13 N C,0,4.993920530093485,0.8601977075379045,48.20614448399283
8 11 3 N C,0,2.9650278147301905,8.617860348919749,639.7537739679974
9 11 8 N P,1,0,0,0
10 3 16 N P,1,0,0,0
11 1 21 N O,1,0,0,0
12 8 13 N D,0,3.238721991141131,6.5889228476789645,259.06161708699074
13 11 8 N P,1,0,0,0
14 25 14 N O,0,2.824672776519685,8.269920572965178,354.8510872289917
15 25 14 N C,0,4.959880452819273,2.127441666639607,195.19627652000054
16 3 19 N C,0,3.4492277493252255,6.578577964289403,480.7635363559966
17 25 9 N O,0,3.414651368642571,5.5683951454800535,189.97936846298398
18 7 21 N P,0,2.4369287436727025,1.2858957889607985,22.058270874025766
19 18 22 N C,0,4.4988206030999,3.5797507117508602,315.69872771197697
10 3 16 N P,1,0,0,0
11 1 21 N O,1,0,0,0
12 8 13 N D,0,3.004286835491894,6.895790528414864,319.5541159790009
10 3 16 N P,1,0,0,0
11 1 21 N O,1,0,0,0
12 8 13 N D,0,2.8828091517922756,7.15250220621001,211.4306939819944
13 11 8 N P,1,0,0,0
14 25 14 N O,0,2.89207988271976,7.950125946345636,290.66075702998205
15 25 14 N C,0,4.996984390357876,2.215155536157534,234.84767702198587
16 3 19 N C,0,3.461351833899595,6.4083844766860025,507.1880384529941
17 25 9 N O,0,3.221395745750604,5.2962972167359315,176.73680875397986
18 7 21 N P,0,3.6913561956515077,1.3058240877751235,23.012063347006915
19 18 22 N C,0,4.287449720837478,3.7123661682230513,378.7313985879882
20 23 1 N D,1,0,0,0
21 2 25 N O,1,0,0,0
22 14 15 N P,0,1.8851220317687751,9.201315720975263,379.33024856899283
23 23 16 N O,0,2.676418089668597,8.319011606447837,274.15857040701667
24 16 1 N D,1,0,0,0
25 22 4 N O,0,3.1040226848906354,6.2788153368311965,260.81961412599776
26 1 11 N D,1,0,0,0
27 20 23 N D,1,0,0,0
28 8 25 N D,1,0,0,0
29 23 3 N O,0,3.099310124088742,6.828674687909349,338.51328146699234
30 23 6 N C,0,4.173634298078369,5.933509438530544,336.8170842429972
31 14 21 N P,0,3.602668696486079,3.9954859668263425,203.87661404602113
32 11 5 N D,0,3.1703053456422032,3.58494113630267,158.54544233198976
33 2 6 N C,0,3.1854589884619178,7.24893937415491,557.6585827039962
34 1 23 N C,0,3.094582342146412,7.680677050475313,573.1910960719979
35 23 25 N O,1,0,0,0
36 14 18 N O,1,0,0,0
37 6 10 N D,0,3.384705721070334,3.0515661245125116,150.51986281899735
38 14 19 N D,0,2.2485684297160486,9.61268067513188,433.9234574470029
39 11 24 N O,1,0,0,0
40 1 19 N D,1,0,0,0
41 8 19 N C,0,3.6980093258900224,7.4383673005264965,409.3529433699732
40 1 19 N D,0,2.5126511534270155,9.701158658407964,9546.147649588005
41 8 19 N C,0,3.285534980412775,8.00449769641093,353.47523894999904
42 2 15 N O,1,0,0,0
43 3 16 N C,0,3.876817374010558,5.20289231521384,383.1075586259976
44 22 17 N C,0,4.979553836954767,1.4159675203598345,118.95885461600119
45 17 2 N O,0,3.0365774295299475,8.285175080465608,314.6522839620011
46 2 24 N P,1,0,0,0
47 23 22 N O,1,0,0,0
