iteration_test,failures,policy,miura,time
0 25 22 N B,1,0,0,0
1 7 4 N A,0,1.659236101893555,6.941527333109119,187.3712786620017
2 17 10 N L,0,1.7111782308458596,7.9101559677097715,249.07078881500638
3 15 4 N L,1,0,0,0
4 9 15 N E,0,3.241456140492874,4.330986424730427,227.76283048700134
5 1 4 N P,1,0,0,0
6 5 12 N E,0,1.969328278510574,8.465402445869811,501.2371500520094
7 20 3 N D,1,0,0,0
8 6 10 N P,1,0,0,0
9 7 22 N L,1,0,0,0
10 8 16 N E,0,3.2436037117226357,3.9342282385098546,219.9554864399979
11 9 20 N E,0,3.6997237973160937,1.7555817668226004,110.8837386820087
12 21 13 N P,1,0,0,0
13 9 9 N O,0,1.4027595428763044,9.079562797958436,382.0706470830046
14 1 20 N E,0,2.0270524910728933,8.043019849494073,543.7474784270016
15 10 7 N O,1,0,0,0
16 4 10 N D,0,2.2364107436777503,3.2159255803079176,91.37098270900606
10 8 16 N E,0,3.113669408329703,4.060406264501819,259.9005175619968
11 9 20 N E,0,3.6864469010746324,1.756479259404047,98.69821519998368
12 21 13 N P,1,0,0,0
13 9 9 N O,0,1.3850714038783027,8.747369520501147,409.5792909489828
14 1 20 N E,0,2.0379919988558917,8.00215492404287,587.3394465880119
15 10 7 N O,0,1.3700399577968918,8.876056050412354,420.8621602280182
16 4 10 N D,0,2.0781458223687657,3.1877154785771076,109.36213019199204
17 5 24 N O,1,0,0,0
10 8 16 N E,0,3.1356782151631073,4.273495173557141,249.94113850599388
11 9 20 N E,0,3.88836306109976,2.0111576039099774,92.06314336502692
12 21 13 N P,1,0,0,0
13 9 9 N O,0,1.3963794233562747,8.593347184190261,317.786439471005
14 1 20 N E,0,2.0860482586575504,8.216287707540749,513.6161459459981
15 10 7 N O,1,0,0,0
16 4 10 N D,0,2.2405923143564155,3.9777034033768603,139.94738159200642
17 5 24 N O,1,0,0,0
18 14 24 N L,1,0,0,0
19 20 9 N O,0,1.880919771624283,2.6585872849812078,53.58811357698869
20 23 25 N B,1,0,0,0
21 25 1 N L,0,1.7929089901025153,1.6025517673249592,32.412229968002066
22 23 11 N P,1,0,0,0
23 9 11 A E,0,2.5425145284641046,6.992927008847931,360.13674280201667
24 17 7 N A,1,0,0,0
25 18 20 N B,0,1.4611445111800045,2.2412530288294756,36.48735569699784
26 19 5 N B,1,0,0,0
27 20 19 B O,1,0,0,0
28 15 20 N E,0,3.489647024136086,1.2319152573682153,97.84965470500174
29 11 22 N L,1,0,0,0
30 20 24 N E,0,1.3657385988541748,9.78012646899186,966.7609086330049
31 24 4 N P,1,0,0,0
32 17 6 N A,1,0,0,0
33 21 3 N D,1,0,0,0
34 1 24 N B,1,0,0,0
30 20 24 N E,0,1.33538454392864,9.835561008461823,1137.14644108
31 24 4 N P,1,0,0,0
32 17 6 N A,1,0,0,0
33 21 3 N D,1,0,0,0
34 1 24 N B,1,0,0,0
35 4 20 N B,1,0,0,0
36 7 16 N P,1,0,0,0
37 15 25 N A,0,1.361704600404272,9.492171553884175,747.1289412609913
38 12 16 N D,0,1.3467040480509769,8.32618122596811,276.7151978530019
39 8 24 N C,0,1.856507311723845,7.632698041205367,637.6048996800091
40 25 11 N A,1,0,0,0
41 12 22 N P,0,1.7430487161776738,7.454810600758159,162.32378757100378
42 18 22 N L,1,0,0,0
43 7 11 N B,1,0,0,0
44 1 21 N L,1,0,0,0
45 6 25 N E,0,1.6356785870517243,9.108253099990414,631.3614731810085
46 20 1 N O,1,0,0,0
47 15 20 N A,0,1.2178915270264372,8.496221798322448,278.59062127699144
48 7 23 N A,0,0.899917489317136,9.994735658626658,10447.389351444988
49 10 3 N P,1,0,0,0
50 8 22 N E,0,4.039111784404939,1.9843533627337286,118.9145826290187
51 10 4 N D,0,2.0524989305013768,5.622971363976238,142.00446272597765
52 10 18 N B,1,0,0,0
53 21 16 N D,1,0,0,0
54 25 15 N L,0,2.025027239638554,6.428768648129166,224.61390951898647
55 17 23 N L,1,0,0,0
50 8 22 N E,0,3.724577607121083,1.9842736560967187,116.83522913500201
51 10 4 N D,0,2.067387621665004,6.563248274881408,176.5060105320299
50 8 22 N E,0,4.224218255543871,2.149781501252364,168.91082437699993
51 10 4 N D,0,1.964063632110286,5.906037956895789,127.625481821
52 10 18 N B,1,0,0,0
53 21 16 N D,1,0,0,0
54 25 15 N L,0,1.8507119300254418,7.316448830293681,315.94327633899957
55 17 23 N L,1,0,0,0
56 1 12 N E,0,2.052432388932424,8.063227085964256,549.0135986610003
57 6 10 N B,1,0,0,0
58 2 4 N L,0,1.6736811759907384,7.56317522561863,411.04044100600004
59 22 8 N E,1,0,0,0
60 7 12 N A,0,1.488007251221344,1.9926082757210561,30.086742794999736
61 17 2 N A,0,1.207258198659837,9.864510214350267,722.1378940590002
62 24 8 N L,0,2.329212782147611,2.2777778183761415,81.28158825099672
63 20 15 N E,0,2.550017651085047,7.313155403783375,253.93840314800036
64 10 6 N O,1,0,0,0
65 22 21 N A,1,0,0,0
66 8 9 N E,0,1.9984728694239087,8.124767004203981,355.80032079999364
67 18 7 N C,0,3.0994446649478267,6.149335576765175,264.31361139100045
68 19 22 N P,1,0,0,0
60 7 12 N A,0,1.5121990921745483,1.9803421453476187,31.512577785004396
60 7 12 N A,0,1.5121990921745483,1.9803421453476187,29.225819156999933
61 17 2 N A,0,1.2213789559217882,9.796776605525883,699.0567286419973
62 24 8 N L,0,2.0391911016644673,2.2707770633496795,51.57298715900106
63 20 15 N E,0,2.6038347931053734,7.429821766656601,280.6682545270014
64 10 6 N O,1,0,0,0
65 22 21 N A,0,1.106665484445739,9.989664150890404,891.3295049090084
66 8 9 N E,0,2.1112971880990274,8.456697249353526,326.73898343699693
67 18 7 N C,0,2.8605623476299415,6.060095770863581,250.05238074299996
68 19 22 N P,1,0,0,0
69 10 1 N P,1,0,0,0
70 12 22 N L,1,0,0,0
71 6 22 N E,0,3.5726740688533964,2.9565163792901594,134.92644093799754
72 3 23 N O,1,0,0,0
73 25 24 N B,1,0,0,0
74 22 5 N P,1,0,0,0
75 13 20 N L,1,0,0,0
76 10 4 N L,1,0,0,0
77 12 3 N L,0,2.2241965284420506,3.9791079200366806,261.95691144201555
78 14 11 N B,1,0,0,0
79 5 17 N O,1,0,0,0
80 1 5 N P,1,0,0,0
81 13 2 N O,1,0,0,0
82 13 24 N A,0,1.4138623200596812,9.149615724568912,623.1219347389997
80 1 5 N P,1,0,0,0
81 13 2 N O,1,0,0,0
82 13 24 N A,0,1.4012128283056318,9.182503546031,589.9395579330157
80 1 5 N P,1,0,0,0
81 13 2 N O,1,0,0,0
82 13 24 N A,0,1.3837412177509543,9.34761759473638,575.5796466680004
83 1 18 N O,1,0,0,0
84 3 22 N E,0,1.877161201730568,8.705869274197521,448.9702074570014
85 10 11 N D,0,1.952296626341972,5.328020418285954,162.64276980199793
86 13 8 N C,0,3.6554694367009333,3.2657493737425805,187.23728376000508
87 17 18 N D,1,0,0,0
88 4 20 N B,1,0,0,0
89 2 22 N A,0,1.6883044928226583,7.521908861867209,378.3036991679983
90 5 25 N E,0,1.7315102100328423,8.957072735384818,595.3682955710028
91 25 9 N A,1,0,0,0
92 23 10 N O,0,2.1280747591223865,4.823752867702358,158.82472592400154
93 3 5 N O,1,0,0,0
94 14 4 N P,1,0,0,0
90 5 25 N E,0,1.7030037089917043,8.946767951196815,530.7956030130008
90 5 25 N E,0,1.6238917215842945,9.173575459797119,682.1947721169563
91 25 9 N A,1,0,0,0
92 23 10 N O,0,2.102490648883642,5.226743405700595,137.65219376102323
90 5 25 N E,0,1.760794273328389,8.767254326332752,606.7589841849999
91 25 9 N A,1,0,0,0
92 23 10 N O,0,2.0047282344975064,4.833591908870099,118.64124805000029
93 3 5 N O,1,0,0,0
94 14 4 N P,1,0,0,0
95 3 2 N B,1,0,0,0
96 16 12 N L,1,0,0,0
97 13 18 N E,0,3.7483303140417745,1.2738675424130745,46.03065838399925
98 10 7 N P,1,0,0,0
99 17 18 N E,0,3.5169729467452893,2.841782961166937,153.93849034199957
100 8 22 N O,1,0,0,0
101 15 13 N E,0,2.6982888917638457,6.811404665560508,263.11806249000074
102 20 9 N E,1,0,0,0
100 8 22 N O,1,0,0,0
101 15 13 N E,0,2.4858003765185313,7.764616180258405,258.4016324400436
102 20 9 N E,0,1.2205851147120772,9.908850780793625,4095.9957130940165
100 8 22 N O,1,0,0,0
101 15 13 N E,0,2.235380872198565,8.09382660298032,262.14195567099887
102 20 9 N E,1,0,0,0
103 21 4 N P,1,0,0,0
104 13 22 N L,1,0,0,0
105 15 3 N P,1,0,0,0
106 17 24 N D,1,0,0,0
107 15 15 N C,0,1.7313246752930564,0.501715093323037,6.689838808997592
108 21 21 N P,1,0,0,0
109 12 23 N O,1,0,0,0
100 8 22 N O,1,0,0,0
101 15 13 N E,0,2.632681096430647,6.938261473841429,276.8617128110054
102 20 9 N E,1,0,0,0
103 21 4 N P,1,0,0,0
104 13 22 N L,1,0,0,0
100 8 22 N O,1,0,0,0
101 15 13 N E,0,2.601429102803575,6.99339110144093,300.2705465640174
102 20 9 N E,1,0,0,0
103 21 4 N P,1,0,0,0
104 13 22 N L,1,0,0,0
105 15 3 N P,1,0,0,0
106 17 24 N D,1,0,0,0
107 15 15 N C,0,1.7313246752930564,0.501715093323037,10.336311378981918
108 21 21 N P,0,0.817591741944249,9.99602358897325,8801.405143433018
109 12 23 N O,1,0,0,0
110 9 3 N D,1,0,0,0
111 15 19 N B,0,1.675679914651878,4.898143310265608,83.89618500508368
