key,average,std_err
 correct_C,[0.16  0.176 0.236 0.236 0.28  0.36  0.38  0.384 0.436 0.452 0.484 0.484 0.5   0.512 0.58  0.58  0.62  0.652 0.664 0.664],[0.02319 0.02409 0.02686 0.02686 0.0284  0.03036 0.0307  0.03076 0.03136 0.03148 0.03161 0.03161 0.03162 0.03161 0.03122 0.03122 0.0307  0.03013 0.02987 0.02987]
 correct_D,[0.124 0.124 0.148 0.148 0.212 0.224 0.224 0.24  0.24  0.268 0.324 0.348 0.4   0.4   0.412 0.524 0.556 0.584 0.588 0.588],[0.02084 0.02084 0.02246 0.02246 0.02585 0.02637 0.02637 0.02701 0.02701 0.02801 0.0296  0.03013 0.03098 0.03098 0.03113 0.03159 0.03142 0.03117 0.03113 0.03113]
 correct_L,[0.36  0.372 0.388 0.4   0.412 0.424 0.436 0.512 0.548 0.556 0.596 0.596 0.616 0.728 0.756 0.788 0.788 0.872 0.9   0.9  ],[0.03036 0.03057 0.03082 0.03098 0.03113 0.03126 0.03136 0.03161 0.03148 0.03142 0.03103 0.03103 0.03076 0.02814 0.02716 0.02585 0.02585 0.02113 0.01897 0.01897]
 correct_O,[0.232 0.276 0.304 0.352 0.448 0.46  0.524 0.576 0.584 0.676 0.76  0.76  0.82  0.856 0.88  0.908 0.92  0.92  0.928 0.928],[0.0267  0.02827 0.02909 0.03021 0.03145 0.03152 0.03159 0.03126 0.03117 0.0296  0.02701 0.02701 0.0243  0.0222  0.02055 0.01828 0.01716 0.01716 0.01635 0.01635]
 correct_P,[0.124 0.144 0.208 0.208 0.284 0.352 0.38  0.456 0.536 0.56  0.596 0.648 0.688 0.696 0.74  0.752 0.756 0.764 0.788 0.788],[0.02084 0.0222  0.02567 0.02567 0.02852 0.03021 0.0307  0.0315  0.03154 0.03139 0.03103 0.03021 0.0293  0.02909 0.02774 0.02731 0.02716 0.02686 0.02585 0.02585]
 correct_T,[0.248 0.268 0.36  0.36  0.416 0.464 0.464 0.5   0.528 0.528 0.54  0.608 0.608 0.644 0.712 0.712 0.716 0.744 0.756 0.788],[0.02731 0.02801 0.03036 0.03036 0.03117 0.03154 0.03154 0.03162 0.03157 0.03157 0.03152 0.03088 0.03088 0.03028 0.02864 0.02864 0.02852 0.0276  0.02716 0.02585]
 p_confidence_C,[0.16  0.176 0.236 0.236 0.28  0.36  0.38  0.384 0.436 0.452 0.484 0.484 0.5   0.512 0.58  0.58  0.62  0.652 0.664 0.664],[0.02319 0.02409 0.02686 0.02686 0.0284  0.03036 0.0307  0.03076 0.03136 0.03148 0.03161 0.03161 0.03162 0.03161 0.03122 0.03122 0.0307  0.03013 0.02987 0.02987]
 p_confidence_D,[0.124 0.124 0.148 0.148 0.212 0.224 0.224 0.24  0.24  0.268 0.324 0.348 0.4   0.4   0.412 0.524 0.556 0.584 0.588 0.588],[0.02084 0.02084 0.02246 0.02246 0.02585 0.02637 0.02637 0.02701 0.02701 0.02801 0.0296  0.03013 0.03098 0.03098 0.03113 0.03159 0.03142 0.03117 0.03113 0.03113]
 p_confidence_L,[0.36  0.372 0.388 0.4   0.412 0.424 0.436 0.512 0.548 0.556 0.596 0.596 0.616 0.728 0.756 0.788 0.788 0.872 0.9   0.9  ],[0.03036 0.03057 0.03082 0.03098 0.03113 0.03126 0.03136 0.03161 0.03148 0.03142 0.03103 0.03103 0.03076 0.02814 0.02716 0.02585 0.02585 0.02113 0.01897 0.01897]
 p_confidence_O,[0.232 0.276 0.304 0.352 0.448 0.46  0.524 0.576 0.584 0.676 0.76  0.76  0.82  0.856 0.88  0.908 0.92  0.92  0.928 0.928],[0.0267  0.02827 0.02909 0.03021 0.03145 0.03152 0.03159 0.03126 0.03117 0.0296  0.02701 0.02701 0.0243  0.0222  0.02055 0.01828 0.01716 0.01716 0.01635 0.01635]
 p_confidence_P,[0.124 0.144 0.208 0.208 0.284 0.352 0.38  0.456 0.536 0.56  0.596 0.648 0.688 0.696 0.74  0.752 0.756 0.764 0.788 0.788],[0.02084 0.0222  0.02567 0.02567 0.02852 0.03021 0.0307  0.0315  0.03154 0.03139 0.03103 0.03021 0.0293  0.02909 0.02774 0.02731 0.02716 0.02686 0.02585 0.02585]
 p_confidence_T,[0.246 0.268 0.36  0.36  0.416 0.464 0.464 0.5   0.528 0.528 0.54  0.608 0.608 0.644 0.712 0.712 0.716 0.744 0.756 0.788],[0.02716 0.02801 0.03036 0.03036 0.03117 0.03154 0.03154 0.03162 0.03157 0.03157 0.03152 0.03088 0.03088 0.03028 0.02864 0.02864 0.02852 0.0276  0.02716 0.02585]
