action_type, correct_C, correct_D, correct_L, correct_O, correct_P, correct_T, p_confidence_C, p_confidence_D, p_confidence_L, p_confidence_O, p_confidence_P, p_confidence_T
optimal,[0.256 0.292 0.396 0.488 0.52  0.576 0.656 0.672 0.72  0.76  0.868 0.88  0.88  0.948 0.948 0.948 0.96  0.988 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.988 0.988 0.988 0.988 0.988 1.    1.    1.    1.    1.    1.   ],[0.34  0.36  0.408 0.444 0.508 0.58  0.628 0.704 0.732 0.732 0.78  0.832 0.856 0.86  0.896 0.904 0.94  0.94  0.94  0.94  0.972 0.988 1.    1.    1.    1.    1.    1.    1.    0.996 0.996 0.996 1.    1.    0.996 1.    0.996 0.996 0.996 0.996],[0.42  0.52  0.556 0.672 0.712 0.76  0.76  0.804 0.904 0.936 0.992 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.992 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.   ],[0.432 0.512 0.584 0.68  0.808 0.9   0.936 0.976 0.964 0.996 0.996 0.996 0.996 0.996 0.996 0.996 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.   ],[0.244 0.34  0.36  0.464 0.548 0.668 0.716 0.788 0.836 0.912 0.948 0.948 0.948 0.952 0.952 0.952 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.   ],[0.436 0.536 0.628 0.628 0.652 0.708 0.744 0.824 0.908 0.972 0.992 0.996 0.996 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.996 0.996 1.    1.    1.    1.    1.    1.    1.   ],[0.07285 0.14018 0.23744 0.33669 0.41353 0.48415 0.56927 0.61029 0.65966 0.71539 0.81308 0.84987 0.85904 0.90504 0.9234  0.92993 0.93117 0.9505  0.96985 0.97633 0.9793  0.9776  0.98087 0.97795 0.98126 0.98271 0.985   0.98536 0.98568 0.9802  0.97962 0.97946 0.97935 0.98021 0.98516 0.98674 0.98696 0.98665 0.98694 0.98683],[0.09711 0.1808  0.2677  0.33153 0.41182 0.49309 0.54906 0.63171 0.69517 0.71772 0.74984 0.79285 0.82751 0.84316 0.86954 0.88208 0.90662 0.91283 0.91801 0.91947 0.93766 0.95162 0.96124 0.9636  0.96428 0.96455 0.96351 0.9636  0.96364 0.96102 0.96028 0.96077 0.96258 0.96276 0.96088 0.96311 0.9613  0.96    0.96022 0.95893],[0.10668 0.21895 0.33967 0.48731 0.57723 0.65985 0.69199 0.73475 0.8206  0.89043 0.94551 0.9677  0.97845 0.97947 0.98234 0.98434 0.98336 0.9857  0.98878 0.99047 0.99162 0.99095 0.99161 0.98788 0.99144 0.99191 0.9929  0.99349 0.99391 0.99465 0.99511 0.99546 0.99576 0.99523 0.99409 0.99356 0.99397 0.99354 0.99427 0.99404],[0.10857 0.19461 0.30936 0.44404 0.5928  0.72215 0.81649 0.87881 0.9049  0.94285 0.96053 0.96843 0.97194 0.97286 0.97358 0.97569 0.97297 0.97533 0.98137 0.98526 0.98808 0.988   0.99081 0.99047 0.99252 0.99361 0.99385 0.99397 0.99434 0.9932  0.9926  0.99267 0.99307 0.99483 0.99594 0.99629 0.99609 0.99561 0.99574 0.99522],[0.06863 0.14432 0.21468 0.31405 0.39929 0.51364 0.59784 0.67437 0.73799 0.81635 0.86475 0.88538 0.895   0.89824 0.90996 0.91673 0.95684 0.97587 0.98007 0.97853 0.97753 0.98017 0.98004 0.98243 0.98309 0.97828 0.98088 0.98109 0.97834 0.97859 0.97771 0.96934 0.97309 0.9798  0.98605 0.98575 0.9807  0.98407 0.97926 0.98175],[0.11765 0.23181 0.36553 0.43718 0.50086 0.58105 0.63586 0.70429 0.77399 0.85839 0.91759 0.935   0.93673 0.95295 0.95994 0.9646  0.97744 0.98628 0.98769 0.98817 0.98837 0.98503 0.98657 0.98282 0.98489 0.98561 0.98875 0.99145 0.99234 0.99313 0.99328 0.99202 0.99226 0.99433 0.99396 0.99391 0.99439 0.99448 0.99491 0.99508]
legible,[0.312 0.384 0.508 0.5   0.504 0.596 0.744 0.788 0.836 0.948 0.96  0.988 0.988 0.988 0.988 0.988 0.988 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.   ],[0.384 0.428 0.492 0.536 0.612 0.644 0.664 0.704 0.716 0.728 0.784 0.86  0.896 0.952 0.996 0.996 0.996 0.996 0.996 0.996 0.996 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.   ],[0.524 0.568 0.632 0.72  0.76  0.868 0.912 0.96  0.964 0.972 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 1.    1.    1.    1.    1.    1.    1.    1.    1.   ],[0.528 0.56  0.656 0.72  0.824 0.888 0.98  0.988 0.988 0.988 0.992 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.   ],[0.28  0.36  0.4   0.516 0.592 0.68  0.72  0.776 0.78  0.848 0.856 0.856 0.932 0.964 0.976 0.976 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.   ],[0.46  0.548 0.648 0.692 0.744 0.808 0.824 0.92  0.964 0.988 0.996 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.   ],[0.08626 0.17196 0.2762  0.33191 0.38269 0.46991 0.57592 0.65097 0.71835 0.82365 0.88644 0.93078 0.94492 0.95615 0.95794 0.96307 0.96814 0.98014 0.9853  0.98928 0.9921  0.99434 0.99574 0.99693 0.99786 0.99855 0.99901 0.99931 0.99952 0.99966 0.99976 0.99982 0.99987 0.9999  0.99993 0.99994 0.99995 0.99996 0.99997 0.99997],[0.10866 0.21494 0.32925 0.41351 0.5017  0.56649 0.60879 0.6576  0.69091 0.70552 0.74971 0.81767 0.86304 0.92377 0.96501 0.97492 0.98335 0.98742 0.98993 0.99168 0.99294 0.99601 0.997   0.99777 0.99835 0.99879 0.99911 0.99934 0.9995  0.99962 0.9997  0.99976 0.9998  0.99983 0.99985 0.99987 0.99988 0.99989 0.99989 0.9999 ],[0.13842 0.259   0.4089  0.54636 0.63998 0.75753 0.84077 0.91764 0.94713 0.96149 0.97729 0.98465 0.98813 0.98902 0.9893  0.98945 0.98957 0.98968 0.98978 0.98987 0.98996 0.99005 0.99013 0.99021 0.99028 0.99035 0.99041 0.99048 0.99054 0.99059 0.99065 0.99449 0.99463 0.99476 0.9949  0.99503 0.99515 0.99528 0.9954  0.99553],[0.13322 0.21737 0.3456  0.4753  0.61606 0.7262  0.82042 0.87011 0.91146 0.94251 0.96384 0.98117 0.98711 0.98788 0.99088 0.99381 0.99558 0.997   0.99809 0.99878 0.99917 0.99937 0.99951 0.99961 0.99968 0.99973 0.99978 0.99981 0.99984 0.99986 0.99988 0.9999  0.99991 0.99992 0.99993 0.99994 0.99994 0.99995 0.99996 0.99996],[0.07872 0.15495 0.23681 0.33121 0.41905 0.52568 0.58965 0.64869 0.69111 0.76109 0.7946  0.80468 0.85518 0.89824 0.93145 0.9433  0.97225 0.99029 0.9958  0.99633 0.99479 0.99474 0.99382 0.99507 0.99706 0.99848 0.9992  0.99954 0.9997  0.99979 0.99983 0.99986 0.99987 0.99988 0.99989 0.9999  0.99991 0.99992 0.99993 0.99993],[0.12418 0.23937 0.37672 0.47426 0.55837 0.65572 0.71276 0.78387 0.84881 0.90538 0.94098 0.95577 0.96108 0.9715  0.98084 0.98452 0.99286 0.99691 0.99794 0.99848 0.99883 0.99909 0.99928 0.99942 0.99953 0.99962 0.99968 0.99974 0.99978 0.99981 0.99984 0.99986 0.99988 0.99989 0.99991 0.99992 0.99993 0.99994 0.99994 0.99995]
