key,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 correct_C,0.02864,0.03126,0.03148,0.03082,0.02898,0.0262,0.02365,0.0222,0.02141,0.02084,0.01995,0.01828,0.01635,0.01548,0.01502,0.01454,0.01352,0.01404,0.01454,0.01178,0.01178,0.01178,0.00689,0.00794,0.00689,0.00563,0.00399,0.00399,0.00399,0.00399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 correct_D,0.03139,0.03122,0.0293,0.02788,0.0243,0.02168,0.01963,0.01676,0.01635,0.01548,0.01502,0.01548,0.01404,0.00968,0.00968,0.00885,0.00794,0.00689,0.00689,0.00563,0.00563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 correct_L,0.03108,0.0292,0.02603,0.02025,0.01352,0.01043,0.00794,0.00689,0.00563,0.00563,0.00563,0.00399,0.00563,0.00399,0.00399,0.00399,0.00399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 correct_O,0.03108,0.02788,0.02195,0.01676,0.01178,0.00794,0.00563,0.00399,0.00399,0.00563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 correct_P,0.0253,0.03036,0.03156,0.03063,0.02827,0.02471,0.02319,0.02025,0.01828,0.01548,0.01352,0.01113,0.00794,0.00563,0.00563,0.00689,0.00399,0.00399,0.00399,0.00399,0.00399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399,0.00399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 correct_T,0.03098,0.03043,0.0267,0.02295,0.02084,0.01792,0.01863,0.01676,0.01352,0.01178,0.00968,0.00794,0.00794,0.00794,0.00794,0.00689,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 p_confidence_C,7.73E-03,1.17E-02,1.54E-02,1.84E-02,1.98E-02,2.00E-02,1.98E-02,1.97E-02,1.97E-02,1.96E-02,1.93E-02,1.81E-02,1.66E-02,1.58E-02,1.53E-02,1.49E-02,1.42E-02,1.44E-02,1.46E-02,1.24E-02,1.21E-02,1.20E-02,8.42E-03,8.70E-03,7.76E-03,6.64E-03,5.29E-03,5.05E-03,4.92E-03,4.77E-03,3.06E-03,2.40E-03,2.51E-03,2.52E-03,2.59E-03,2.02E-03,1.62E-03,1.49E-03,1.52E-03,1.99E-03,1.36E-03,1.25E-03,8.48E-04,9.47E-04,7.34E-04,7.63E-04,3.89E-04,2.91E-04,3.05E-04,1.89E-04,1.62E-04,1.88E-04,1.98E-04,2.35E-04,7.37E-05,5.66E-05,3.00E-05,3.82E-05,1.63E-05,1.19E-05
 p_confidence_D,9.07E-03,1.37E-02,1.73E-02,1.97E-02,1.98E-02,1.93E-02,1.86E-02,1.71E-02,1.67E-02,1.59E-02,1.55E-02,1.58E-02,1.45E-02,1.12E-02,1.06E-02,9.68E-03,9.02E-03,8.23E-03,7.86E-03,6.63E-03,6.29E-03,3.50E-03,2.16E-03,1.62E-03,1.38E-03,1.58E-03,1.76E-03,8.72E-04,4.87E-04,3.30E-04,2.17E-04,2.07E-04,2.34E-04,1.33E-04,9.26E-05,8.60E-05,6.86E-05,3.85E-05,3.71E-05,4.29E-05,2.45E-05,1.00E-05,7.88E-06,6.60E-06,7.01E-06,7.77E-06,6.42E-06,3.85E-06,3.37E-06,2.35E-06,1.26E-06,1.02E-06,1.19E-06,1.46E-06,1.17E-06,1.10E-06,9.22E-07,8.61E-07,3.53E-07,2.72E-07
 p_confidence_L,8.73E-03,1.45E-02,1.80E-02,1.75E-02,1.44E-02,1.23E-02,9.87E-03,8.54E-03,7.28E-03,6.74E-03,6.53E-03,5.14E-03,5.81E-03,4.58E-03,4.29E-03,4.05E-03,4.03E-03,1.30E-03,6.40E-04,2.21E-04,1.37E-04,1.01E-04,7.50E-05,3.66E-05,2.24E-05,1.08E-05,8.87E-06,5.21E-06,2.21E-06,1.74E-06,1.46E-06,7.19E-07,5.70E-07,2.37E-07,1.77E-07,1.19E-07,1.54E-07,1.19E-07,6.89E-08,5.63E-08,3.99E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
 p_confidence_O,8.33E-03,1.19E-02,1.36E-02,1.40E-02,1.27E-02,1.03E-02,8.60E-03,7.13E-03,6.59E-03,6.80E-03,3.87E-03,2.80E-03,2.17E-03,1.94E-03,1.74E-03,1.50E-03,1.02E-03,4.83E-04,3.35E-04,3.10E-04,2.62E-04,2.43E-04,1.17E-04,5.59E-05,3.40E-05,3.29E-05,2.47E-05,1.32E-05,8.28E-06,4.50E-06,2.82E-06,1.82E-06,8.96E-07,4.60E-07,1.19E-07,9.75E-08,8.91E-08,3.99E-08,3.99E-08,7.98E-08,7.98E-08,1.20E-07,1.20E-07,7.98E-08,7.98E-08,7.98E-08,3.99E-08,3.99E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
 p_confidence_P,7.17E-03,1.24E-02,1.63E-02,1.92E-02,2.05E-02,2.00E-02,2.00E-02,1.86E-02,1.77E-02,1.60E-02,1.45E-02,1.26E-02,1.04E-02,8.63E-03,8.13E-03,8.57E-03,6.71E-03,6.17E-03,5.53E-03,5.25E-03,5.21E-03,3.68E-03,3.14E-03,2.64E-03,2.47E-03,2.48E-03,2.43E-03,2.29E-03,2.11E-03,2.04E-03,1.84E-03,1.82E-03,1.83E-03,2.03E-03,4.02E-03,4.01E-03,1.09E-03,7.64E-04,6.55E-04,5.86E-04,2.69E-04,1.69E-04,1.50E-04,1.20E-04,9.34E-05,8.37E-05,7.79E-05,7.78E-05,7.59E-05,7.42E-05,7.36E-05,7.09E-05,5.69E-05,4.47E-05,4.28E-05,4.25E-05,4.53E-05,3.89E-05,3.45E-05,2.95E-05
 p_confidence_T,8.38E-03,1.23E-02,1.49E-02,1.63E-02,1.72E-02,1.67E-02,1.74E-02,1.63E-02,1.42E-02,1.29E-02,1.15E-02,9.72E-03,9.20E-03,8.96E-03,8.76E-03,7.80E-03,5.76E-03,5.37E-03,5.03E-03,4.80E-03,4.32E-03,4.22E-03,4.16E-03,4.12E-03,4.08E-03,4.08E-03,4.08E-03,1.96E-03,1.63E-03,8.87E-04,6.67E-04,5.98E-04,4.90E-04,4.79E-04,4.70E-04,4.70E-04,4.70E-04,2.99E-04,1.21E-04,8.28E-05,6.84E-05,6.13E-05,5.83E-05,4.90E-05,4.16E-05,3.68E-05,3.31E-05,3.19E-05,3.13E-05,3.09E-05,3.07E-05,3.64E-05,4.00E-05,1.48E-05,5.98E-06,4.47E-06,4.15E-06,3.36E-06,2.61E-06,2.29E-06
