action_type, correct_C, correct_D, correct_L, correct_O, correct_P, correct_T, p_confidence_C, p_confidence_D, p_confidence_L, p_confidence_O, p_confidence_P, p_confidence_T
optimal,[0.224 0.256 0.344 0.344 0.36  0.392 0.412 0.416 0.512 0.544 0.576 0.608 0.624 0.676 0.74  0.824 0.836 0.916 0.944 0.944],[0.064 0.084 0.084 0.1   0.132 0.132 0.156 0.188 0.2   0.248 0.312 0.328 0.328 0.408 0.48  0.584 0.632 0.648 0.708 0.716],[0.268 0.332 0.352 0.368 0.404 0.424 0.444 0.48  0.508 0.588 0.652 0.668 0.72  0.844 0.876 0.876 0.936 0.936 0.944 0.944],[0.096 0.096 0.112 0.116 0.116 0.132 0.148 0.16  0.176 0.176 0.212 0.276 0.316 0.376 0.424 0.476 0.524 0.568 0.608 0.64 ],[0.2   0.228 0.272 0.288 0.348 0.368 0.408 0.428 0.484 0.568 0.636 0.704 0.724 0.776 0.792 0.792 0.872 0.88  0.896 0.896],[0.212 0.232 0.312 0.344 0.352 0.416 0.432 0.432 0.484 0.504 0.54  0.592 0.628 0.668 0.728 0.784 0.808 0.844 0.88  0.88 ],[0.224 0.256 0.344 0.344 0.36  0.392 0.412 0.416 0.512 0.544 0.576 0.608 0.624 0.676 0.74  0.824 0.836 0.916 0.944 0.944],[0.064 0.084 0.084 0.1   0.132 0.132 0.156 0.188 0.2   0.248 0.312 0.328 0.328 0.408 0.48  0.584 0.632 0.648 0.708 0.716],[0.268 0.332 0.352 0.368 0.404 0.424 0.444 0.48  0.508 0.588 0.652 0.668 0.72  0.844 0.876 0.876 0.936 0.936 0.944 0.944],[0.096 0.096 0.112 0.116 0.116 0.132 0.148 0.16  0.176 0.176 0.212 0.276 0.316 0.376 0.424 0.476 0.524 0.568 0.608 0.64 ],[0.2   0.228 0.272 0.288 0.348 0.368 0.408 0.428 0.484 0.568 0.636 0.704 0.724 0.776 0.792 0.792 0.872 0.88  0.896 0.896],[0.212 0.232 0.312 0.344 0.352 0.416 0.432 0.432 0.484 0.504 0.54  0.592 0.628 0.668 0.728 0.784 0.808 0.844 0.88  0.88 ]
legible,[0.224 0.248 0.344 0.344 0.352 0.392 0.408 0.412 0.512 0.512 0.548 0.608 0.608 0.676 0.68  0.736 0.784 0.852 0.936 0.936],[0.064 0.084 0.084 0.1   0.132 0.132 0.164 0.188 0.216 0.248 0.316 0.328 0.332 0.408 0.508 0.596 0.612 0.668 0.688 0.716],[0.268 0.324 0.352 0.364 0.388 0.408 0.452 0.464 0.512 0.58  0.628 0.732 0.768 0.836 0.876 0.876 0.936 0.936 0.944 0.944],[0.096 0.096 0.112 0.116 0.116 0.132 0.152 0.164 0.18  0.204 0.22  0.3   0.332 0.376 0.456 0.508 0.548 0.592 0.68  0.708],[0.2   0.228 0.272 0.288 0.348 0.368 0.424 0.428 0.492 0.568 0.636 0.704 0.724 0.82  0.82  0.852 0.88  0.888 0.896 0.896],[0.212 0.232 0.312 0.344 0.352 0.416 0.432 0.432 0.496 0.504 0.568 0.616 0.632 0.668 0.728 0.784 0.808 0.844 0.888 0.888],[0.224 0.248 0.344 0.344 0.352 0.392 0.408 0.412 0.512 0.512 0.548 0.608 0.608 0.676 0.68  0.736 0.784 0.852 0.936 0.936],[0.064 0.084 0.084 0.1   0.132 0.132 0.164 0.188 0.216 0.248 0.316 0.328 0.332 0.408 0.508 0.596 0.612 0.668 0.688 0.716],[0.268 0.324 0.352 0.364 0.388 0.408 0.452 0.464 0.512 0.58  0.628 0.732 0.768 0.836 0.876 0.876 0.936 0.936 0.944 0.944],[0.096 0.096 0.112 0.116 0.116 0.132 0.152 0.164 0.18  0.204 0.22  0.3   0.332 0.376 0.456 0.508 0.548 0.592 0.68  0.708],[0.2   0.228 0.272 0.288 0.348 0.368 0.424 0.428 0.492 0.568 0.636 0.704 0.724 0.82  0.82  0.852 0.88  0.888 0.896 0.896],[0.212 0.232 0.312 0.344 0.352 0.416 0.432 0.432 0.496 0.504 0.568 0.616 0.632 0.668 0.728 0.784 0.808 0.844 0.888 0.888]
