action_type, correct_C, correct_D, correct_L, correct_O, correct_P, correct_T, p_confidence_C, p_confidence_D, p_confidence_L, p_confidence_O, p_confidence_P, p_confidence_T
optimal,[0.16  0.16  0.232 0.236 0.252 0.348 0.384 0.404 0.452 0.46  0.5   0.512 0.58  0.62  0.62  0.632 0.664 0.684 0.764 0.764],[0.136 0.148 0.148 0.224 0.224 0.24  0.24  0.268 0.308 0.38  0.444 0.524 0.536 0.572 0.588 0.6   0.624 0.624 0.636 0.684],[0.388 0.388 0.4   0.416 0.436 0.488 0.512 0.556 0.568 0.608 0.66  0.756 0.788 0.844 0.9   0.9   0.908 0.908 0.908 0.908],[0.232 0.24  0.308 0.372 0.428 0.484 0.496 0.616 0.716 0.748 0.82  0.848 0.888 0.908 0.928 0.928 0.928 0.928 0.928 0.928],[0.108 0.136 0.136 0.204 0.252 0.284 0.4   0.456 0.492 0.592 0.636 0.68  0.692 0.724 0.76  0.764 0.788 0.788 0.796 0.808],[0.304 0.304 0.42  0.42  0.452 0.472 0.5   0.528 0.572 0.6   0.644 0.68  0.712 0.72  0.724 0.788 0.796 0.808 0.808 0.856],[0.16  0.16  0.232 0.236 0.252 0.348 0.384 0.404 0.452 0.46  0.5   0.512 0.58  0.62  0.62  0.632 0.664 0.684 0.764 0.764],[0.136 0.148 0.148 0.224 0.224 0.24  0.24  0.268 0.308 0.38  0.444 0.524 0.536 0.572 0.588 0.6   0.624 0.624 0.636 0.684],[0.388 0.388 0.4   0.416 0.436 0.488 0.512 0.556 0.568 0.608 0.66  0.756 0.788 0.844 0.9   0.9   0.908 0.908 0.908 0.908],[0.232 0.24  0.308 0.372 0.428 0.484 0.496 0.616 0.716 0.748 0.82  0.848 0.888 0.908 0.928 0.928 0.928 0.928 0.928 0.928],[0.108 0.136 0.136 0.204 0.252 0.284 0.4   0.456 0.492 0.592 0.636 0.68  0.692 0.724 0.76  0.764 0.788 0.788 0.796 0.808],[0.304 0.304 0.42  0.42  0.452 0.472 0.5   0.528 0.572 0.6   0.644 0.68  0.712 0.72  0.724 0.788 0.796 0.808 0.808 0.856]
legible,[0.192 0.192 0.26  0.264 0.292 0.336 0.42  0.436 0.484 0.524 0.552 0.576 0.672 0.672 0.68  0.812 0.86  0.86  0.88  0.916],[0.136 0.148 0.148 0.224 0.256 0.316 0.328 0.372 0.38  0.444 0.484 0.6   0.612 0.672 0.688 0.7   0.748 0.808 0.852 0.872],[0.392 0.392 0.4   0.408 0.432 0.504 0.552 0.568 0.588 0.624 0.768 0.776 0.852 0.872 0.9   0.948 0.956 0.976 0.976 0.976],[0.26  0.26  0.304 0.372 0.416 0.484 0.508 0.644 0.768 0.828 0.852 0.928 0.956 0.964 0.972 0.972 0.972 0.972 0.972 0.972],[0.108 0.136 0.136 0.204 0.252 0.284 0.4   0.456 0.492 0.592 0.656 0.716 0.74  0.784 0.816 0.824 0.848 0.856 0.888 0.888],[0.304 0.304 0.42  0.42  0.452 0.496 0.516 0.568 0.628 0.688 0.696 0.756 0.756 0.764 0.772 0.836 0.864 0.892 0.916 0.94 ],[0.192 0.192 0.26  0.264 0.292 0.336 0.42  0.436 0.484 0.524 0.552 0.576 0.672 0.672 0.68  0.812 0.86  0.86  0.88  0.916],[0.136 0.148 0.148 0.224 0.256 0.316 0.328 0.372 0.38  0.444 0.484 0.6   0.612 0.672 0.688 0.7   0.748 0.808 0.852 0.872],[0.392 0.392 0.4   0.408 0.432 0.504 0.552 0.568 0.588 0.624 0.768 0.776 0.852 0.872 0.9   0.948 0.956 0.976 0.976 0.976],[0.26  0.26  0.304 0.372 0.416 0.484 0.508 0.644 0.768 0.828 0.852 0.928 0.956 0.964 0.972 0.972 0.972 0.972 0.972 0.972],[0.108 0.136 0.136 0.204 0.252 0.284 0.4   0.456 0.492 0.592 0.656 0.716 0.74  0.784 0.816 0.824 0.848 0.856 0.888 0.888],[0.304 0.304 0.42  0.42  0.452 0.496 0.516 0.568 0.628 0.688 0.696 0.756 0.756 0.764 0.772 0.836 0.864 0.892 0.916 0.94 ]
