action_type, correct_C, correct_D, correct_L, correct_O, correct_P, correct_T, p_confidence_C, p_confidence_D, p_confidence_L, p_confidence_O, p_confidence_P, p_confidence_T
optimal,[0.176 0.14  0.144 0.16  0.16  0.124 0.12  0.12  0.168 0.128 0.14  0.124 0.148 0.144 0.112 0.116 0.12  0.112 0.116 0.104],[0.224 0.204 0.236 0.212 0.26  0.308 0.34  0.332 0.352 0.38  0.376 0.384 0.388 0.404 0.448 0.448 0.46  0.448 0.444 0.448],[0.352 0.412 0.408 0.448 0.484 0.492 0.5   0.472 0.524 0.548 0.552 0.556 0.584 0.568 0.556 0.588 0.592 0.632 0.644 0.62 ],[0.136 0.136 0.16  0.14  0.168 0.156 0.116 0.136 0.112 0.124 0.128 0.104 0.136 0.132 0.136 0.144 0.152 0.148 0.152 0.132],[0.108 0.2   0.284 0.308 0.324 0.332 0.336 0.36  0.356 0.372 0.388 0.388 0.404 0.4   0.396 0.384 0.416 0.388 0.396 0.412],[0.16  0.156 0.204 0.184 0.164 0.156 0.18  0.196 0.204 0.188 0.196 0.204 0.188 0.216 0.208 0.2   0.208 0.22  0.244 0.232],[0.176 0.14  0.144 0.16  0.16  0.124 0.12  0.12  0.168 0.128 0.14  0.124 0.148 0.144 0.112 0.116 0.12  0.112 0.116 0.104],[0.224 0.204 0.236 0.212 0.26  0.308 0.34  0.332 0.352 0.38  0.376 0.384 0.388 0.404 0.448 0.448 0.46  0.448 0.444 0.448],[0.352 0.412 0.408 0.448 0.484 0.492 0.5   0.472 0.524 0.548 0.552 0.556 0.584 0.568 0.556 0.588 0.592 0.632 0.644 0.62 ],[0.136 0.136 0.16  0.14  0.168 0.156 0.116 0.136 0.112 0.124 0.128 0.104 0.136 0.132 0.136 0.144 0.152 0.148 0.152 0.132],[0.108 0.2   0.284 0.308 0.324 0.332 0.336 0.36  0.356 0.372 0.388 0.388 0.404 0.4   0.396 0.384 0.416 0.388 0.396 0.412],[0.16  0.156 0.204 0.184 0.164 0.156 0.18  0.196 0.204 0.188 0.196 0.204 0.188 0.216 0.208 0.2   0.208 0.22  0.244 0.232]
legible,[0.176 0.152 0.164 0.164 0.196 0.168 0.14  0.14  0.184 0.152 0.156 0.152 0.164 0.144 0.14  0.124 0.124 0.12  0.128 0.132],[0.244 0.208 0.268 0.252 0.316 0.36  0.376 0.396 0.38  0.444 0.42  0.424 0.432 0.476 0.46  0.468 0.496 0.48  0.484 0.504],[0.352 0.432 0.444 0.488 0.536 0.52  0.528 0.512 0.552 0.576 0.584 0.584 0.604 0.592 0.6   0.62  0.636 0.66  0.68  0.676],[0.14  0.148 0.18  0.16  0.192 0.172 0.128 0.16  0.14  0.148 0.14  0.136 0.16  0.16  0.144 0.16  0.168 0.188 0.192 0.164],[0.108 0.212 0.296 0.324 0.336 0.368 0.36  0.388 0.376 0.412 0.412 0.42  0.436 0.432 0.432 0.44  0.436 0.416 0.432 0.44 ],[0.164 0.168 0.208 0.208 0.192 0.196 0.224 0.224 0.224 0.232 0.22  0.232 0.22  0.252 0.224 0.228 0.248 0.252 0.252 0.252],[0.176 0.152 0.164 0.164 0.196 0.168 0.14  0.14  0.184 0.152 0.156 0.152 0.164 0.144 0.14  0.124 0.124 0.12  0.128 0.132],[0.244 0.208 0.268 0.252 0.316 0.36  0.376 0.396 0.38  0.444 0.42  0.424 0.432 0.476 0.46  0.468 0.496 0.48  0.484 0.504],[0.352 0.432 0.444 0.488 0.536 0.52  0.528 0.512 0.552 0.576 0.584 0.584 0.604 0.592 0.6   0.62  0.636 0.66  0.68  0.676],[0.14  0.148 0.18  0.16  0.192 0.172 0.128 0.16  0.14  0.148 0.14  0.136 0.16  0.16  0.144 0.16  0.168 0.188 0.192 0.164],[0.108 0.212 0.296 0.324 0.336 0.368 0.36  0.388 0.376 0.412 0.412 0.42  0.436 0.432 0.432 0.44  0.436 0.416 0.432 0.44 ],[0.164 0.168 0.208 0.208 0.192 0.196 0.224 0.224 0.224 0.232 0.22  0.232 0.22  0.252 0.224 0.228 0.248 0.252 0.252 0.252]
