key,average,std_err
 correct_C,[0.192 0.144 0.12  0.104 0.084 0.096 0.096 0.084 0.068 0.064 0.064 0.044 0.056 0.048 0.04  0.032 0.028 0.024 0.02  0.024],[0.02491 0.0222  0.02055 0.01931 0.01754 0.01863 0.01863 0.01754 0.01592 0.01548 0.01548 0.01297 0.01454 0.01352 0.01239 0.01113 0.01043 0.00968 0.00885 0.00968]
 correct_D,[0.136 0.176 0.176 0.16  0.128 0.152 0.152 0.116 0.108 0.096 0.092 0.064 0.072 0.052 0.048 0.04  0.036 0.028 0.032 0.02 ],[0.02168 0.02409 0.02409 0.02319 0.02113 0.02271 0.02271 0.02025 0.01963 0.01863 0.01828 0.01548 0.01635 0.01404 0.01352 0.01239 0.01178 0.01043 0.01113 0.00885]
 correct_L,[0.392 0.348 0.38  0.42  0.46  0.46  0.484 0.504 0.516 0.504 0.508 0.528 0.54  0.52  0.532 0.52  0.5   0.528 0.536 0.544],[0.03088 0.03013 0.0307  0.03122 0.03152 0.03152 0.03161 0.03162 0.03161 0.03162 0.03162 0.03157 0.03152 0.0316  0.03156 0.0316  0.03162 0.03157 0.03154 0.0315 ]
 correct_O,[0.26  0.392 0.46  0.548 0.572 0.656 0.656 0.652 0.684 0.736 0.768 0.788 0.812 0.808 0.832 0.836 0.856 0.876 0.892 0.892],[0.02774 0.03088 0.03152 0.03148 0.03129 0.03004 0.03004 0.03013 0.0294  0.02788 0.0267  0.02585 0.02471 0.02491 0.02365 0.02342 0.0222  0.02084 0.01963 0.01963]
 correct_P,[0.108 0.148 0.116 0.1   0.084 0.088 0.088 0.072 0.068 0.072 0.092 0.068 0.068 0.068 0.072 0.06  0.06  0.056 0.052 0.048],[0.01963 0.02246 0.02025 0.01897 0.01754 0.01792 0.01792 0.01635 0.01592 0.01635 0.01828 0.01592 0.01592 0.01592 0.01635 0.01502 0.01502 0.01454 0.01404 0.01352]
 correct_T,[0.304 0.312 0.28  0.328 0.304 0.32  0.304 0.332 0.332 0.336 0.368 0.348 0.348 0.344 0.356 0.376 0.368 0.372 0.356 0.356],[0.02909 0.0293  0.0284  0.02969 0.02909 0.0295  0.02909 0.02978 0.02978 0.02987 0.0305  0.03013 0.03013 0.03004 0.03028 0.03063 0.0305  0.03057 0.03028 0.03028]
 p_confidence_C,[0.192 0.144 0.12  0.104 0.084 0.096 0.096 0.084 0.068 0.064 0.064 0.044 0.056 0.048 0.04  0.032 0.028 0.024 0.02  0.024],[0.02491 0.0222  0.02055 0.01931 0.01754 0.01863 0.01863 0.01754 0.01592 0.01548 0.01548 0.01297 0.01454 0.01352 0.01239 0.01113 0.01043 0.00968 0.00885 0.00968]
 p_confidence_D,[0.136 0.176 0.176 0.16  0.128 0.152 0.152 0.116 0.108 0.096 0.092 0.064 0.072 0.052 0.048 0.04  0.036 0.028 0.032 0.02 ],[0.02168 0.02409 0.02409 0.02319 0.02113 0.02271 0.02271 0.02025 0.01963 0.01863 0.01828 0.01548 0.01635 0.01404 0.01352 0.01239 0.01178 0.01043 0.01113 0.00885]
 p_confidence_L,[0.392 0.348 0.38  0.42  0.46  0.46  0.484 0.504 0.516 0.504 0.508 0.528 0.54  0.52  0.532 0.52  0.5   0.528 0.536 0.544],[0.03088 0.03013 0.0307  0.03122 0.03152 0.03152 0.03161 0.03162 0.03161 0.03162 0.03162 0.03157 0.03152 0.0316  0.03156 0.0316  0.03162 0.03157 0.03154 0.0315 ]
 p_confidence_O,[0.26  0.392 0.46  0.548 0.572 0.656 0.656 0.652 0.684 0.736 0.768 0.788 0.812 0.808 0.832 0.836 0.856 0.876 0.892 0.892],[0.02774 0.03088 0.03152 0.03148 0.03129 0.03004 0.03004 0.03013 0.0294  0.02788 0.0267  0.02585 0.02471 0.02491 0.02365 0.02342 0.0222  0.02084 0.01963 0.01963]
 p_confidence_P,[0.108 0.148 0.116 0.1   0.084 0.088 0.088 0.072 0.068 0.072 0.092 0.068 0.068 0.068 0.072 0.06  0.06  0.056 0.052 0.048],[0.01963 0.02246 0.02025 0.01897 0.01754 0.01792 0.01792 0.01635 0.01592 0.01635 0.01828 0.01592 0.01592 0.01592 0.01635 0.01502 0.01502 0.01454 0.01404 0.01352]
 p_confidence_T,[0.304 0.312 0.28  0.328 0.304 0.32  0.304 0.332 0.332 0.336 0.368 0.348 0.348 0.344 0.356 0.376 0.368 0.372 0.356 0.356],[0.02909 0.0293  0.0284  0.02969 0.02909 0.0295  0.02909 0.02978 0.02978 0.02987 0.0305  0.03013 0.03013 0.03004 0.03028 0.03063 0.0305  0.03057 0.03028 0.03028]
