key,average,std_err
 correct_C,[0.336 0.344 0.384 0.4   0.444 0.52  0.552 0.616 0.676 0.74  0.772 0.824 0.876 0.892 0.892 0.916 0.916 0.94  0.944 0.944],[0.02987 0.03004 0.03076 0.03098 0.03142 0.0316  0.03145 0.03076 0.0296  0.02774 0.02653 0.02409 0.02084 0.01963 0.01963 0.01754 0.01754 0.01502 0.01454 0.01454]
 correct_D,[0.084 0.088 0.116 0.14  0.16  0.188 0.224 0.292 0.332 0.456 0.512 0.564 0.624 0.624 0.668 0.7   0.784 0.788 0.824 0.876],[0.01754 0.01792 0.02025 0.02195 0.02319 0.02471 0.02637 0.02876 0.02978 0.0315  0.03161 0.03136 0.03063 0.03063 0.02978 0.02898 0.02603 0.02585 0.02409 0.02084]
 correct_L,[0.104 0.104 0.164 0.172 0.252 0.352 0.412 0.472 0.516 0.572 0.632 0.72  0.752 0.76  0.796 0.804 0.868 0.868 0.904 0.908],[0.01931 0.01931 0.02342 0.02387 0.02746 0.03021 0.03113 0.03157 0.03161 0.03129 0.0305  0.0284  0.02731 0.02701 0.02549 0.02511 0.02141 0.02141 0.01863 0.01828]
 correct_O,[0.152 0.184 0.2   0.264 0.284 0.308 0.368 0.404 0.46  0.472 0.552 0.624 0.648 0.676 0.72  0.756 0.768 0.848 0.9   0.908],[0.02271 0.02451 0.0253  0.02788 0.02852 0.0292  0.0305  0.03103 0.03152 0.03157 0.03145 0.03063 0.03021 0.0296  0.0284  0.02716 0.0267  0.02271 0.01897 0.01828]
 correct_P,[0.248 0.28  0.316 0.316 0.344 0.412 0.54  0.608 0.644 0.684 0.76  0.792 0.792 0.856 0.856 0.908 0.908 0.924 0.924 0.94 ],[0.02731 0.0284  0.0294  0.0294  0.03004 0.03113 0.03152 0.03088 0.03028 0.0294  0.02701 0.02567 0.02567 0.0222  0.0222  0.01828 0.01828 0.01676 0.01676 0.01502]
 correct_T,[0.34  0.34  0.4   0.432 0.448 0.524 0.552 0.616 0.644 0.736 0.74  0.788 0.832 0.892 0.92  0.92  0.92  0.932 0.952 0.952],[0.02996 0.02996 0.03098 0.03133 0.03145 0.03159 0.03145 0.03076 0.03028 0.02788 0.02774 0.02585 0.02365 0.01963 0.01716 0.01716 0.01716 0.01592 0.01352 0.01352]
 p_confidence_C,[0.336 0.344 0.384 0.4   0.444 0.52  0.552 0.616 0.676 0.74  0.772 0.824 0.876 0.892 0.892 0.916 0.916 0.94  0.944 0.944],[0.02987 0.03004 0.03076 0.03098 0.03142 0.0316  0.03145 0.03076 0.0296  0.02774 0.02653 0.02409 0.02084 0.01963 0.01963 0.01754 0.01754 0.01502 0.01454 0.01454]
 p_confidence_D,[0.084 0.088 0.116 0.14  0.16  0.188 0.224 0.292 0.332 0.456 0.512 0.564 0.624 0.624 0.668 0.7   0.784 0.788 0.824 0.876],[0.01754 0.01792 0.02025 0.02195 0.02319 0.02471 0.02637 0.02876 0.02978 0.0315  0.03161 0.03136 0.03063 0.03063 0.02978 0.02898 0.02603 0.02585 0.02409 0.02084]
 p_confidence_L,[0.104 0.104 0.164 0.172 0.252 0.352 0.412 0.472 0.516 0.572 0.632 0.72  0.752 0.76  0.796 0.804 0.868 0.868 0.904 0.908],[0.01931 0.01931 0.02342 0.02387 0.02746 0.03021 0.03113 0.03157 0.03161 0.03129 0.0305  0.0284  0.02731 0.02701 0.02549 0.02511 0.02141 0.02141 0.01863 0.01828]
 p_confidence_O,[0.152 0.184 0.2   0.264 0.284 0.308 0.368 0.404 0.46  0.472 0.552 0.624 0.648 0.676 0.72  0.756 0.768 0.848 0.9   0.908],[0.02271 0.02451 0.0253  0.02788 0.02852 0.0292  0.0305  0.03103 0.03152 0.03157 0.03145 0.03063 0.03021 0.0296  0.0284  0.02716 0.0267  0.02271 0.01897 0.01828]
 p_confidence_P,[0.248 0.28  0.316 0.316 0.344 0.412 0.54  0.608 0.644 0.684 0.76  0.792 0.792 0.856 0.856 0.908 0.908 0.924 0.924 0.94 ],[0.02731 0.0284  0.0294  0.0294  0.03004 0.03113 0.03152 0.03088 0.03028 0.0294  0.02701 0.02567 0.02567 0.0222  0.0222  0.01828 0.01828 0.01676 0.01676 0.01502]
 p_confidence_T,[0.34  0.34  0.4   0.432 0.448 0.524 0.552 0.616 0.644 0.736 0.74  0.788 0.832 0.892 0.92  0.92  0.92  0.932 0.952 0.952],[0.02996 0.02996 0.03098 0.03133 0.03145 0.03159 0.03145 0.03076 0.03028 0.02788 0.02774 0.02585 0.02365 0.01963 0.01716 0.01716 0.01716 0.01592 0.01352 0.01352]
