action_type, correct_C, correct_D, correct_L, correct_O, correct_P, correct_T, p_confidence_C, p_confidence_D, p_confidence_L, p_confidence_O, p_confidence_P, p_confidence_T
optimal,[0.176 0.2   0.24  0.264 0.304 0.332 0.356 0.364 0.412 0.484 0.568 0.64  0.656 0.728 0.788 0.788 0.8   0.832 0.836 0.836],[0.224 0.272 0.328 0.376 0.4   0.428 0.464 0.484 0.504 0.556 0.624 0.636 0.708 0.752 0.772 0.772 0.812 0.84  0.848 0.848],[0.352 0.352 0.368 0.376 0.444 0.464 0.496 0.52  0.612 0.712 0.776 0.8   0.8   0.84  0.848 0.884 0.904 0.904 0.904 0.904],[0.136 0.188 0.24  0.292 0.34  0.364 0.408 0.484 0.508 0.532 0.568 0.64  0.72  0.748 0.772 0.78  0.82  0.828 0.832 0.836],[0.108 0.124 0.188 0.212 0.272 0.3   0.352 0.46  0.484 0.532 0.612 0.644 0.72  0.78  0.796 0.844 0.856 0.856 0.872 0.884],[0.16  0.156 0.192 0.26  0.304 0.32  0.332 0.416 0.524 0.576 0.656 0.716 0.748 0.752 0.796 0.804 0.828 0.852 0.852 0.852],[0.176 0.2   0.24  0.264 0.304 0.332 0.356 0.364 0.412 0.484 0.568 0.64  0.656 0.728 0.788 0.788 0.8   0.832 0.836 0.836],[0.224 0.272 0.328 0.376 0.4   0.428 0.464 0.484 0.504 0.556 0.624 0.636 0.708 0.752 0.772 0.772 0.812 0.84  0.848 0.848],[0.352 0.352 0.368 0.376 0.444 0.464 0.496 0.52  0.612 0.712 0.776 0.8   0.8   0.84  0.848 0.884 0.904 0.904 0.904 0.904],[0.136 0.188 0.24  0.292 0.34  0.364 0.408 0.484 0.508 0.532 0.568 0.64  0.72  0.748 0.772 0.78  0.82  0.828 0.832 0.836],[0.108 0.124 0.188 0.212 0.272 0.3   0.352 0.46  0.484 0.532 0.612 0.644 0.72  0.78  0.796 0.844 0.856 0.856 0.872 0.884],[0.16  0.156 0.192 0.26  0.304 0.32  0.332 0.416 0.524 0.576 0.656 0.716 0.748 0.752 0.796 0.804 0.828 0.852 0.852 0.852]
legible,[0.176 0.2   0.256 0.284 0.336 0.352 0.38  0.404 0.48  0.524 0.64  0.756 0.804 0.804 0.836 0.86  0.872 0.884 0.952 0.952],[0.244 0.292 0.368 0.4   0.412 0.432 0.468 0.496 0.512 0.572 0.64  0.704 0.764 0.808 0.836 0.836 0.908 0.924 0.924 0.94 ],[0.352 0.364 0.38  0.4   0.48  0.508 0.528 0.544 0.692 0.724 0.788 0.844 0.848 0.892 0.924 0.956 0.956 0.956 0.956 0.956],[0.14  0.192 0.248 0.304 0.348 0.364 0.432 0.484 0.548 0.58  0.672 0.68  0.784 0.852 0.892 0.92  0.948 0.952 0.956 0.956],[0.108 0.124 0.188 0.212 0.272 0.328 0.368 0.46  0.524 0.592 0.612 0.672 0.752 0.784 0.844 0.904 0.916 0.916 0.952 0.952],[0.164 0.16  0.232 0.264 0.304 0.332 0.36  0.416 0.504 0.592 0.592 0.692 0.78  0.792 0.848 0.88  0.948 0.948 0.96  0.96 ],[0.176 0.2   0.256 0.284 0.336 0.352 0.38  0.404 0.48  0.524 0.64  0.756 0.804 0.804 0.836 0.86  0.872 0.884 0.952 0.952],[0.244 0.292 0.368 0.4   0.412 0.432 0.468 0.496 0.512 0.572 0.64  0.704 0.764 0.808 0.836 0.836 0.908 0.924 0.924 0.94 ],[0.352 0.364 0.38  0.4   0.48  0.508 0.528 0.544 0.692 0.724 0.788 0.844 0.848 0.892 0.924 0.956 0.956 0.956 0.956 0.956],[0.14  0.192 0.248 0.304 0.348 0.364 0.432 0.484 0.548 0.58  0.672 0.68  0.784 0.852 0.892 0.92  0.948 0.952 0.956 0.956],[0.108 0.124 0.188 0.212 0.272 0.328 0.368 0.46  0.524 0.592 0.612 0.672 0.752 0.784 0.844 0.904 0.916 0.916 0.952 0.952],[0.164 0.16  0.232 0.264 0.304 0.332 0.36  0.416 0.504 0.592 0.592 0.692 0.78  0.792 0.848 0.88  0.948 0.948 0.96  0.96 ]
