key,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 correct_C,0.372,0.44,0.54,0.628,0.672,0.756,0.812,0.832,0.864,0.872,0.888,0.908,0.94,0.956,0.956,0.964,0.968,0.976,0.972,0.98,0.984,0.98,0.988,0.992,0.988,0.988,0.992,0.992,0.992,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_D,0.16,0.268,0.324,0.392,0.424,0.492,0.54,0.564,0.584,0.624,0.628,0.644,0.664,0.668,0.712,0.732,0.736,0.728,0.744,0.788,0.796,0.796,0.796,0.796,0.784,0.784,0.804,0.816,0.816,0.812,0.82,0.848,0.844,0.844,0.84,0.856,0.848,0.852,0.872,0.864,0.872,0.876,0.876,0.888,0.9,0.904,0.912,0.916,0.932,0.924,0.924,0.924,0.928,0.928,0.936,0.936,0.932,0.932,0.936,0.936
 correct_L,0.476,0.572,0.676,0.712,0.78,0.824,0.852,0.892,0.912,0.924,0.96,0.972,0.972,0.98,0.988,0.992,0.992,0.996,0.996,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_O,0.172,0.252,0.324,0.38,0.408,0.44,0.46,0.492,0.504,0.524,0.548,0.56,0.54,0.576,0.62,0.632,0.64,0.66,0.688,0.696,0.72,0.724,0.74,0.72,0.728,0.744,0.74,0.752,0.756,0.756,0.748,0.74,0.748,0.756,0.756,0.776,0.788,0.808,0.836,0.844,0.856,0.856,0.852,0.856,0.86,0.86,0.872,0.856,0.856,0.852,0.856,0.86,0.86,0.872,0.872,0.88,0.888,0.892,0.904,0.9
 correct_P,0.412,0.536,0.66,0.748,0.8,0.82,0.872,0.904,0.92,0.924,0.936,0.944,0.956,0.956,0.968,0.964,0.988,0.988,0.988,0.988,0.988,0.992,0.992,0.996,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_T,0.384,0.484,0.592,0.66,0.72,0.772,0.808,0.82,0.848,0.876,0.9,0.932,0.944,0.952,0.956,0.976,0.98,0.98,0.98,0.984,0.988,0.984,0.984,0.984,0.988,0.988,0.988,0.992,0.996,0.996,0.992,0.992,0.992,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 p_confidence_C,0.09455,0.15334,0.23647,0.3322,0.40646,0.49489,0.57321,0.63427,0.69745,0.73727,0.77429,0.813,0.85253,0.88018,0.89445,0.91009,0.92264,0.93278,0.93933,0.95104,0.96065,0.96318,0.96997,0.97431,0.97338,0.97608,0.98125,0.98418,0.98626,0.98928,0.9904,0.99056,0.99127,0.9914,0.99207,0.99311,0.99327,0.99335,0.99341,0.99334,0.99336,0.99728,0.99827,0.99871,0.99909,0.99922,0.99926,0.99929,0.99922,0.99916,0.99928,0.99935,0.99929,0.99918,0.99886,0.99843,0.99829,0.99911,0.99937,0.99969
 p_confidence_D,0.04118,0.0974,0.15488,0.21759,0.26011,0.31218,0.35512,0.38573,0.4077,0.44265,0.46417,0.48716,0.51254,0.52879,0.56494,0.59482,0.62037,0.63124,0.64985,0.68007,0.69148,0.6957,0.70097,0.70288,0.69911,0.70413,0.72059,0.73818,0.74222,0.74319,0.75094,0.77245,0.77659,0.78044,0.78114,0.79431,0.79674,0.80258,0.82356,0.82696,0.8358,0.84224,0.84373,0.85289,0.86524,0.87047,0.8784,0.88319,0.89333,0.89029,0.89012,0.89066,0.89679,0.89939,0.90631,0.90787,0.90742,0.90787,0.90971,0.90841
 p_confidence_L,0.12028,0.20534,0.30574,0.39104,0.48395,0.56379,0.62817,0.6949,0.74796,0.7903,0.84274,0.8811,0.90481,0.92616,0.94121,0.95311,0.96327,0.9723,0.97735,0.98147,0.98635,0.98767,0.98886,0.99027,0.99212,0.99306,0.99372,0.99465,0.99531,0.99573,0.99599,0.99647,0.9967,0.99701,0.99724,0.99743,0.99755,0.99802,0.99839,0.99921,0.99927,0.99927,0.99968,0.99982,0.9999,0.99993,0.99994,0.99994,0.99994,0.99996,0.99997,0.99998,0.99999,0.99999,0.99999,1,1,1,1,1
 p_confidence_O,0.04816,0.09617,0.14424,0.18979,0.22136,0.25607,0.29016,0.31988,0.33832,0.363,0.38939,0.41267,0.41959,0.44874,0.4854,0.50125,0.52347,0.54719,0.57657,0.59566,0.61536,0.62467,0.6386,0.63224,0.63724,0.64859,0.65722,0.67649,0.67949,0.6822,0.6834,0.68081,0.68711,0.69564,0.7007,0.7176,0.73047,0.75096,0.77009,0.78161,0.79345,0.79687,0.79535,0.80228,0.8069,0.80821,0.817,0.80811,0.80711,0.80636,0.8106,0.8195,0.82553,0.83578,0.83846,0.8456,0.85219,0.85591,0.86334,0.86443
