key,average,std_err
 correct_C,[0.192 0.192 0.26  0.264 0.292 0.336 0.42  0.436 0.484 0.524 0.552 0.576 0.672 0.672 0.68  0.812 0.86  0.86  0.88  0.916],[0.02491 0.02491 0.02774 0.02788 0.02876 0.02987 0.03122 0.03136 0.03161 0.03159 0.03145 0.03126 0.02969 0.02969 0.0295  0.02471 0.02195 0.02195 0.02055 0.01754]
 correct_D,[0.136 0.148 0.148 0.224 0.256 0.316 0.328 0.372 0.38  0.444 0.484 0.6   0.612 0.672 0.688 0.7   0.748 0.808 0.852 0.872],[0.02168 0.02246 0.02246 0.02637 0.0276  0.0294  0.02969 0.03057 0.0307  0.03142 0.03161 0.03098 0.03082 0.02969 0.0293  0.02898 0.02746 0.02491 0.02246 0.02113]
 correct_L,[0.392 0.392 0.4   0.408 0.432 0.504 0.552 0.568 0.588 0.624 0.768 0.776 0.852 0.872 0.9   0.948 0.956 0.976 0.976 0.976],[0.03088 0.03088 0.03098 0.03108 0.03133 0.03162 0.03145 0.03133 0.03113 0.03063 0.0267  0.02637 0.02246 0.02113 0.01897 0.01404 0.01297 0.00968 0.00968 0.00968]
 correct_O,[0.26  0.26  0.304 0.372 0.416 0.484 0.508 0.644 0.768 0.828 0.852 0.928 0.956 0.964 0.972 0.972 0.972 0.972 0.972 0.972],[0.02774 0.02774 0.02909 0.03057 0.03117 0.03161 0.03162 0.03028 0.0267  0.02387 0.02246 0.01635 0.01297 0.01178 0.01043 0.01043 0.01043 0.01043 0.01043 0.01043]
 correct_P,[0.108 0.136 0.136 0.204 0.252 0.284 0.4   0.456 0.492 0.592 0.656 0.716 0.74  0.784 0.816 0.824 0.848 0.856 0.888 0.888],[0.01963 0.02168 0.02168 0.02549 0.02746 0.02852 0.03098 0.0315  0.03162 0.03108 0.03004 0.02852 0.02774 0.02603 0.02451 0.02409 0.02271 0.0222  0.01995 0.01995]
 correct_T,[0.304 0.304 0.42  0.42  0.452 0.496 0.516 0.568 0.628 0.688 0.696 0.756 0.756 0.764 0.772 0.836 0.864 0.892 0.916 0.94 ],[0.02909 0.02909 0.03122 0.03122 0.03148 0.03162 0.03161 0.03133 0.03057 0.0293  0.02909 0.02716 0.02716 0.02686 0.02653 0.02342 0.02168 0.01963 0.01754 0.01502]
 p_confidence_C,[0.192 0.192 0.26  0.264 0.292 0.336 0.42  0.436 0.484 0.524 0.552 0.576 0.672 0.672 0.68  0.812 0.86  0.86  0.88  0.916],[0.02491 0.02491 0.02774 0.02788 0.02876 0.02987 0.03122 0.03136 0.03161 0.03159 0.03145 0.03126 0.02969 0.02969 0.0295  0.02471 0.02195 0.02195 0.02055 0.01754]
 p_confidence_D,[0.136 0.148 0.148 0.224 0.256 0.316 0.328 0.372 0.38  0.444 0.484 0.6   0.612 0.672 0.688 0.7   0.748 0.808 0.852 0.872],[0.02168 0.02246 0.02246 0.02637 0.0276  0.0294  0.02969 0.03057 0.0307  0.03142 0.03161 0.03098 0.03082 0.02969 0.0293  0.02898 0.02746 0.02491 0.02246 0.02113]
 p_confidence_L,[0.392 0.392 0.4   0.408 0.432 0.504 0.552 0.568 0.588 0.624 0.768 0.776 0.852 0.872 0.9   0.948 0.956 0.976 0.976 0.976],[0.03088 0.03088 0.03098 0.03108 0.03133 0.03162 0.03145 0.03133 0.03113 0.03063 0.0267  0.02637 0.02246 0.02113 0.01897 0.01404 0.01297 0.00968 0.00968 0.00968]
 p_confidence_O,[0.26  0.26  0.304 0.372 0.416 0.484 0.508 0.644 0.768 0.828 0.852 0.928 0.956 0.964 0.972 0.972 0.972 0.972 0.972 0.972],[0.02774 0.02774 0.02909 0.03057 0.03117 0.03161 0.03162 0.03028 0.0267  0.02387 0.02246 0.01635 0.01297 0.01178 0.01043 0.01043 0.01043 0.01043 0.01043 0.01043]
 p_confidence_P,[0.108 0.136 0.136 0.204 0.252 0.284 0.4   0.456 0.492 0.592 0.656 0.716 0.74  0.784 0.816 0.824 0.848 0.856 0.888 0.888],[0.01963 0.02168 0.02168 0.02549 0.02746 0.02852 0.03098 0.0315  0.03162 0.03108 0.03004 0.02852 0.02774 0.02603 0.02451 0.02409 0.02271 0.0222  0.01995 0.01995]
 p_confidence_T,[0.304 0.304 0.42  0.42  0.452 0.496 0.516 0.568 0.628 0.688 0.696 0.756 0.756 0.764 0.772 0.836 0.864 0.892 0.916 0.94 ],[0.02909 0.02909 0.03122 0.03122 0.03148 0.03162 0.03161 0.03133 0.03057 0.0293  0.02909 0.02716 0.02716 0.02686 0.02653 0.02342 0.02168 0.01963 0.01754 0.01502]
