key,average,std_err
 correct_C,[0.176 0.2   0.24  0.264 0.304 0.332 0.356 0.364 0.412 0.484 0.568 0.64  0.656 0.728 0.788 0.788 0.8   0.832 0.836 0.836],[0.02409 0.0253  0.02701 0.02788 0.02909 0.02978 0.03028 0.03043 0.03113 0.03161 0.03133 0.03036 0.03004 0.02814 0.02585 0.02585 0.0253  0.02365 0.02342 0.02342]
 correct_D,[0.224 0.272 0.328 0.376 0.4   0.428 0.464 0.484 0.504 0.556 0.624 0.636 0.708 0.752 0.772 0.772 0.812 0.84  0.848 0.848],[0.02637 0.02814 0.02969 0.03063 0.03098 0.03129 0.03154 0.03161 0.03162 0.03142 0.03063 0.03043 0.02876 0.02731 0.02653 0.02653 0.02471 0.02319 0.02271 0.02271]
 correct_L,[0.352 0.352 0.368 0.376 0.444 0.464 0.496 0.52  0.612 0.712 0.776 0.8   0.8   0.84  0.848 0.884 0.904 0.904 0.904 0.904],[0.03021 0.03021 0.0305  0.03063 0.03142 0.03154 0.03162 0.0316  0.03082 0.02864 0.02637 0.0253  0.0253  0.02319 0.02271 0.02025 0.01863 0.01863 0.01863 0.01863]
 correct_O,[0.136 0.188 0.24  0.292 0.34  0.364 0.408 0.484 0.508 0.532 0.568 0.64  0.72  0.748 0.772 0.78  0.82  0.828 0.832 0.836],[0.02168 0.02471 0.02701 0.02876 0.02996 0.03043 0.03108 0.03161 0.03162 0.03156 0.03133 0.03036 0.0284  0.02746 0.02653 0.0262  0.0243  0.02387 0.02365 0.02342]
 correct_P,[0.108 0.124 0.188 0.212 0.272 0.3   0.352 0.46  0.484 0.532 0.612 0.644 0.72  0.78  0.796 0.844 0.856 0.856 0.872 0.884],[0.01963 0.02084 0.02471 0.02585 0.02814 0.02898 0.03021 0.03152 0.03161 0.03156 0.03082 0.03028 0.0284  0.0262  0.02549 0.02295 0.0222  0.0222  0.02113 0.02025]
 correct_T,[0.16  0.156 0.192 0.26  0.304 0.32  0.332 0.416 0.524 0.576 0.656 0.716 0.748 0.752 0.796 0.804 0.828 0.852 0.852 0.852],[0.02319 0.02295 0.02491 0.02774 0.02909 0.0295  0.02978 0.03117 0.03159 0.03126 0.03004 0.02852 0.02746 0.02731 0.02549 0.02511 0.02387 0.02246 0.02246 0.02246]
 p_confidence_C,[0.176 0.2   0.24  0.264 0.304 0.332 0.356 0.364 0.412 0.484 0.568 0.64  0.656 0.728 0.788 0.788 0.8   0.832 0.836 0.836],[0.02409 0.0253  0.02701 0.02788 0.02909 0.02978 0.03028 0.03043 0.03113 0.03161 0.03133 0.03036 0.03004 0.02814 0.02585 0.02585 0.0253  0.02365 0.02342 0.02342]
 p_confidence_D,[0.224 0.272 0.328 0.376 0.4   0.428 0.464 0.484 0.504 0.556 0.624 0.636 0.708 0.752 0.772 0.772 0.812 0.84  0.848 0.848],[0.02637 0.02814 0.02969 0.03063 0.03098 0.03129 0.03154 0.03161 0.03162 0.03142 0.03063 0.03043 0.02876 0.02731 0.02653 0.02653 0.02471 0.02319 0.02271 0.02271]
 p_confidence_L,[0.352 0.352 0.368 0.376 0.444 0.464 0.496 0.52  0.612 0.712 0.776 0.8   0.8   0.84  0.848 0.884 0.904 0.904 0.904 0.904],[0.03021 0.03021 0.0305  0.03063 0.03142 0.03154 0.03162 0.0316  0.03082 0.02864 0.02637 0.0253  0.0253  0.02319 0.02271 0.02025 0.01863 0.01863 0.01863 0.01863]
 p_confidence_O,[0.136 0.188 0.24  0.292 0.34  0.364 0.408 0.484 0.508 0.532 0.568 0.64  0.72  0.748 0.772 0.78  0.82  0.828 0.832 0.836],[0.02168 0.02471 0.02701 0.02876 0.02996 0.03043 0.03108 0.03161 0.03162 0.03156 0.03133 0.03036 0.0284  0.02746 0.02653 0.0262  0.0243  0.02387 0.02365 0.02342]
 p_confidence_P,[0.108 0.124 0.188 0.212 0.272 0.3   0.352 0.46  0.484 0.532 0.612 0.644 0.72  0.78  0.796 0.844 0.856 0.856 0.872 0.884],[0.01963 0.02084 0.02471 0.02585 0.02814 0.02898 0.03021 0.03152 0.03161 0.03156 0.03082 0.03028 0.0284  0.0262  0.02549 0.02295 0.0222  0.0222  0.02113 0.02025]
 p_confidence_T,[0.16  0.156 0.192 0.26  0.304 0.32  0.332 0.416 0.524 0.576 0.656 0.716 0.748 0.752 0.796 0.804 0.828 0.852 0.852 0.852],[0.02319 0.02295 0.02491 0.02774 0.02909 0.0295  0.02978 0.03117 0.03159 0.03126 0.03004 0.02852 0.02746 0.02731 0.02549 0.02511 0.02387 0.02246 0.02246 0.02246]
