key,average,std_err
 correct_C,[0.324 0.364 0.384 0.424 0.452 0.548 0.576 0.628 0.676 0.74  0.824 0.876 0.892 0.892 0.892 0.892 0.916 0.916 0.916 0.916],[0.0296  0.03043 0.03076 0.03126 0.03148 0.03148 0.03126 0.03057 0.0296  0.02774 0.02409 0.02084 0.01963 0.01963 0.01963 0.01963 0.01754 0.01754 0.01754 0.01754]
 correct_D,[0.068 0.088 0.116 0.116 0.128 0.128 0.212 0.28  0.32  0.332 0.492 0.492 0.492 0.54  0.596 0.628 0.656 0.732 0.776 0.776],[0.01592 0.01792 0.02025 0.02025 0.02113 0.02113 0.02585 0.0284  0.0295  0.02978 0.03162 0.03162 0.03162 0.03152 0.03103 0.03057 0.03004 0.02801 0.02637 0.02637]
 correct_L,[0.104 0.104 0.184 0.2   0.256 0.312 0.32  0.452 0.496 0.536 0.552 0.66  0.704 0.724 0.744 0.796 0.808 0.808 0.844 0.86 ],[0.01931 0.01931 0.02451 0.0253  0.0276  0.0293  0.0295  0.03148 0.03162 0.03154 0.03145 0.02996 0.02887 0.02827 0.0276  0.02549 0.02491 0.02491 0.02295 0.02195]
 correct_O,[0.152 0.176 0.192 0.256 0.268 0.292 0.332 0.404 0.416 0.472 0.504 0.512 0.588 0.64  0.648 0.708 0.708 0.78  0.788 0.872],[0.02271 0.02409 0.02491 0.0276  0.02801 0.02876 0.02978 0.03103 0.03117 0.03157 0.03162 0.03161 0.03113 0.03036 0.03021 0.02876 0.02876 0.0262  0.02585 0.02113]
 correct_P,[0.272 0.312 0.324 0.332 0.36  0.416 0.496 0.568 0.632 0.708 0.728 0.768 0.788 0.844 0.86  0.904 0.904 0.92  0.92  0.936],[0.02814 0.0293  0.0296  0.02978 0.03036 0.03117 0.03162 0.03133 0.0305  0.02876 0.02814 0.0267  0.02585 0.02295 0.02195 0.01863 0.01863 0.01716 0.01716 0.01548]
 correct_T,[0.34  0.34  0.38  0.412 0.448 0.512 0.524 0.584 0.632 0.708 0.72  0.768 0.796 0.88  0.904 0.916 0.916 0.916 0.928 0.936],[0.02996 0.02996 0.0307  0.03113 0.03145 0.03161 0.03159 0.03117 0.0305  0.02876 0.0284  0.0267  0.02549 0.02055 0.01863 0.01754 0.01754 0.01754 0.01635 0.01548]
 p_confidence_C,[0.324 0.364 0.384 0.424 0.452 0.548 0.576 0.628 0.676 0.74  0.824 0.876 0.892 0.892 0.892 0.892 0.916 0.916 0.916 0.916],[0.0296  0.03043 0.03076 0.03126 0.03148 0.03148 0.03126 0.03057 0.0296  0.02774 0.02409 0.02084 0.01963 0.01963 0.01963 0.01963 0.01754 0.01754 0.01754 0.01754]
 p_confidence_D,[0.068 0.088 0.116 0.116 0.128 0.128 0.212 0.28  0.32  0.332 0.492 0.492 0.492 0.54  0.596 0.628 0.656 0.732 0.776 0.776],[0.01592 0.01792 0.02025 0.02025 0.02113 0.02113 0.02585 0.0284  0.0295  0.02978 0.03162 0.03162 0.03162 0.03152 0.03103 0.03057 0.03004 0.02801 0.02637 0.02637]
 p_confidence_L,[0.104 0.104 0.184 0.2   0.256 0.312 0.32  0.452 0.496 0.536 0.552 0.66  0.704 0.724 0.744 0.796 0.808 0.808 0.844 0.86 ],[0.01931 0.01931 0.02451 0.0253  0.0276  0.0293  0.0295  0.03148 0.03162 0.03154 0.03145 0.02996 0.02887 0.02827 0.0276  0.02549 0.02491 0.02491 0.02295 0.02195]
 p_confidence_O,[0.152 0.176 0.192 0.256 0.268 0.292 0.332 0.404 0.416 0.472 0.504 0.512 0.588 0.64  0.648 0.708 0.708 0.78  0.788 0.872],[0.02271 0.02409 0.02491 0.0276  0.02801 0.02876 0.02978 0.03103 0.03117 0.03157 0.03162 0.03161 0.03113 0.03036 0.03021 0.02876 0.02876 0.0262  0.02585 0.02113]
 p_confidence_P,[0.272 0.312 0.324 0.332 0.36  0.416 0.496 0.568 0.632 0.708 0.728 0.768 0.788 0.844 0.86  0.904 0.904 0.92  0.92  0.936],[0.02814 0.0293  0.0296  0.02978 0.03036 0.03117 0.03162 0.03133 0.0305  0.02876 0.02814 0.0267  0.02585 0.02295 0.02195 0.01863 0.01863 0.01716 0.01716 0.01548]
 p_confidence_T,[0.34  0.34  0.38  0.412 0.448 0.512 0.524 0.584 0.632 0.708 0.72  0.768 0.796 0.88  0.904 0.916 0.916 0.916 0.928 0.936],[0.02996 0.02996 0.0307  0.03113 0.03145 0.03161 0.03159 0.03117 0.0305  0.02876 0.0284  0.0267  0.02549 0.02055 0.01863 0.01754 0.01754 0.01754 0.01635 0.01548]
